sample,new_3220242_3220300_c
LBexp_1,10.4369
LBexp_2,10.6825
LBexp_3,10.3883
LBtran_1,13.4849
LBtran_2,11.9484
LBtran_3,11.7965
LBstat_1,12.7487
LBstat_2,12.618
LBstat_3,12.6417
LBGexp_1,8.625
LBGexp_2,8.7523
LBGexp_3,8.6736
LBGtran_2,10.0617
LBGtran_3,9.0825
LBGstat_1,8.5975
LBGstat_2,8.3278
LBGstat_3,9.6269
S0_1,11.488
S0_2,11.638
S0_3,11.2954
S1_1,12.6005
S1_2,12.8175
S1_3,12.5693
S2_1,12.2197
S2_2,12.4761
S2_3,12.0418
S3_1,12.3599
S3_2,12.2787
S4_1,12.4322
S4_2,12.4219
S4_3,12.1505
S5_1,12.6762
S5_2,12.7889
S5_3,12.4319
S6_1,13.7516
S6_2,13.6998
S6_3,13.0929
S6/t_1,13.4682
S6/t_2,13.0685
S6_4,12.9506
S6_5,13.949000000000002
S6_6,13.4579
S7_4,13.304
S7_5,13.2372
S7_6,13.086
S8_4,12.6538
S8_5,12.4929
G135_1,9.0376
G135_3,8.1075
G150_1,9.9881
G150_2,9.4579
G150_3,9.9261
G180_1,8.4565
G180_2,8.6631
G180_3,8.3288
C30_1,8.7704
C30_2,9.0767
C90_1,9.3757
C90_2,9.4421
BI_1,11.6622
BI_2,11.4526
BC_2,13.2041
BC/t_1,12.7153
BC/t_2,12.9172
BC_1,12.4568
Sw_1,12.7268
Sw_2,13.073
BT_1,11.4906
BT_2,10.8085
B36_1,11.1422
B36_2,10.8135
B60_1,11.6393
B60_2,11.2586
M9exp_1,9.7128
M9exp_2,9.2947
M9exp_3,9.1025
M9tran_1,10.2175
M9tran_2,9.9072
M9tran_3,10.2914
M9stat_1,11.7879
M9stat_2,11.5427
M9stat_3,11.4773
M+G_1,9.8185
M+G_2,9.6435
M+G_3,9.5453
Glu_1,10.588
Glu_2,10.5845
Glu_3,10.3629
Fru_1,10.5367
Fru_2,11.3036
Fru_3,10.3693
Mal_1,10.943
Mal_2,11.286
Mal_3,11.153
G+S_2,11.7885
G+S_3,12.062
Pyr_1,10.9635
Pyr_2,11.6544
Pyr_3,11.3697
Gly_1,10.7869
Gly_2,11.3432
Gly_3,10.3349
Glucon_1,10.5038
Glucon_2,11.0944
Glucon_3,10.0773
aero_1,10.128
aero_2,9.2374
aero_3,10.0352
nit_1,10.1744
nit_2,10.5773
