,yoaA
Cr_1,0.001203187428441866
Cr_2,0.013527407358681432
Cr_3,0.02243666500891791
Cr_4,0.04108701891114516
Cr_5,0.06312914260142555
Cr_6,0.062037468651560325
Fe_1,-0.017722373377688085
Fe_2,-0.029554099799319982
Fe_3,-0.039683069589059414
Fe_4,-0.05487075261117648
Fe_5,-0.0681132672586694
Fe_6,-0.08026184973370652
Cd_1,0.003273139107937375
Cd_2,0.008878924938771932
Cd_3,0.02242039336795974
Cd_4,0.03106043725090488
Cd_5,0.031040284727355812
Cd_6,0.032693481588584775
Zn_1,0.0018979913115161828
Zn_2,-0.0038499129505861437
Zn_3,0.018581704011978745
Zn_4,0.04902982854182319
Zn_5,0.0747043287344609
Zn_6,0.08212688336737667
Cu_1,-0.003431114350456765
Cu_2,0.00596482378115635
Cu_3,0.012433187248075316
Cu_4,0.010214270516923444
Cu_5,0.012533108267356487
Cu_6,0.017946646733899854
Pb_1,0.0012160182315095738
Pb_2,-0.0018049581205836426
Pb_3,0.007984365427604764
Pb_4,0.016334885924781283
Pb_5,0.02574571924202484
Pb_6,0.039946199015230464
