,hsdR
Cr_1,-0.001979150592547594
Cr_2,0.00016265589794633195
Cr_3,0.003613689307514836
Cr_4,0.008114745447622538
Cr_5,0.008771983335676675
Cr_6,0.007551663587201878
Fe_1,-0.025719664405623847
Fe_2,-0.05384693543501004
Fe_3,-0.06953088974920202
Fe_4,-0.08766905143345778
Fe_5,-0.10814332869504686
Fe_6,-0.11549015981058955
Cd_1,-0.0056233187405598725
Cd_2,-0.0094429568894198
Cd_3,-0.007114832122829024
Cd_4,-0.005049117053453226
Cd_5,-0.0033816556954375772
Cd_6,0.002142858374337069
Zn_1,0.006577275330034309
Zn_2,0.03145803467808465
Zn_3,0.06593161171067045
Zn_4,0.08806143566243171
Zn_5,0.11821530460133148
Zn_6,0.10816965690964543
Cu_1,0.00984958797520071
Cu_2,0.013566051062363657
Cu_3,0.020831056094257998
Cu_4,0.026452459216500114
Cu_5,0.02994571263835886
Cu_6,0.040440720915555776
Pb_1,-0.002301214534885189
Pb_2,0.0038107010947771094
Pb_3,0.025482155239437268
Pb_4,0.037794256392334906
Pb_5,0.045989825662235
Pb_6,0.04381863640752273
