,dcm
Cr_1,0.006933433519053076
Cr_2,0.016509912758946168
Cr_3,0.014898221418235325
Cr_4,0.015817041304173083
Cr_5,0.03211906656135908
Cr_6,0.05746171180133956
Fe_1,-0.04389404360680733
Fe_2,-0.06614570630626361
Fe_3,-0.059217893622103064
Fe_4,-0.031462560143001216
Fe_5,-0.00787074896700388
Fe_6,0.016804931137242442
Cd_1,4.1666621431413676e-05
Cd_2,0.006167735882565321
Cd_3,0.010798735496820257
Cd_4,0.011992080510523395
Cd_5,0.011958116447353263
Cd_6,0.01910165297288659
Zn_1,0.0038526278421962983
Zn_2,0.0046338654678077075
Zn_3,-0.007206166288181394
Zn_4,-0.0033706986671956326
Zn_5,0.0077642472587521
Zn_6,0.027650959560124085
Cu_1,0.006531500912684818
Cu_2,0.0075041884022338705
Cu_3,0.011245879530422529
Cu_4,0.016028274311355725
Cu_5,0.02451712616149253
Cu_6,0.03799491728050043
Pb_1,-0.0014856259477043286
Pb_2,-0.003660110243098415
Pb_3,0.008344617187534882
Pb_4,0.023861371420271272
Pb_5,0.03416141241056148
Pb_6,0.04411687736375467
