,0
gene_id,PP_4328
name,PP_4328
operon,Op2802
gene_product,conserved protein of unknown function
cog,Cell motility
regulator,<i>Not Available</i>
link,"<a href=""https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4328&e1=1&assembly=complete"">Pseudomonas Genome DB</a>"
