,ais
Cr_1,0.011590458544015124
Cr_2,0.013341035526748904
Cr_3,0.024955106960590542
Cr_4,0.04397665902264025
Cr_5,0.08357630779953991
Cr_6,0.13034606834915574
Fe_1,0.0075836438025374394
Fe_2,0.002888689280991217
Fe_3,0.013997975838730938
Fe_4,0.021272337160404414
Fe_5,0.03415677305364765
Fe_6,0.0409439641965838
Cd_1,-0.00294535447145768
Cd_2,-0.0069292078175523675
Cd_3,-0.004677001553109603
Cd_4,-0.001698743932962276
Cd_5,-0.0015439790797441401
Cd_6,-0.0007880206355044964
Zn_1,-0.011269587069324512
Zn_2,-0.016254679705694972
Zn_3,-0.00829352092110945
Zn_4,-0.0020191540655231342
Zn_5,0.0014495022979324295
Zn_6,0.010162632341656687
Cu_1,-0.004184992062675722
Cu_2,0.0073950050870659235
Cu_3,0.014096705359682587
Cu_4,0.019072183686519438
Cu_5,0.023143511120543952
Cu_6,0.032534954956728694
Pb_1,0.001494679647152502
Pb_2,-0.0028091686953768394
Pb_3,-0.002030131493710851
Pb_4,0.012790964807085678
Pb_5,0.01906543436780074
Pb_6,0.02581523594883641
