,ABUW_3761
SRX3737100,1.3098547703
SRX3737101,0.9776655093000001
SRX3737103,1.1323655727
SRX3737104,0.0729767427
SRX3737105,-0.0488803571
SRX3737106,0.0195138703
SRX3737107,-0.0436102559
SRX3737108,-0.2562929627
SRX3737109,-0.3553327048
SRX3737110,0.0487189065
SRX3737111,-0.1947658068
Abaum_0017,0.0051821564
Abaum_0018,0.6966691780000001
Abaum_0019,0.8048097437
Abaum_0020,-0.4047797641
Abaum_0021,0.5562210321000001
Abaum_0022,0.0768632072
Abaum_0023,-0.0051821564
Abaum_0024,-0.255752046
Abaum_0025,0.5259113271
Abaum_0026,0.12257802220000001
SRX3141471,-0.3915583823
SRX3141472,-0.4095044606
SRX3141473,0.1108467417
SRX3141474,0.29865771890000004
SRX3141475,-0.45893203180000003
SRX3141476,-0.42569105420000003
SRX3141477,-0.3407980548
SRX3141478,-0.2163884733
SRX3141479,-0.5061831622
SRX8944518,0.0304680432
SRX8944519,-0.0739157864
SRX8944520,-0.1093510444
SRX8944521,-0.1997678324
SRX8944522,0.0788830011
SRX8944523,0.1366381183
SRX5930997,0.3233030563
SRX5930998,-0.4748741339
SRX5930999,0.1515710777
SRX5931001,0.5751917119000001
SRX5931002,0.3831009573
SRX4488546,1.0232406531
SRX4488547,-0.8727214885000001
SRX4488548,2.112669946
SRX4488549,-0.1505191646
SRX4488550,1.7900002154
SRX4488551,1.8753554722999999
SRX4488552,2.1741533769
SRX4488553,2.2929550076
SRX4488554,1.7785387134000001
SRX4488555,2.138736427
SRX4488556,1.3428033248
SRX4488557,2.8696983259
SRX2568047,0.1002402091
SRX2568048,0.052479727500000004
SRX2568049,0.4058658522
SRX2568050,0.7453160931
SRX2568051,0.9803828314
SRX2568052,0.9664078912
SRX2568053,0.8573594398000001
SRX2568054,0.4706747043
SRX2568055,0.23585725170000002
SRX2568056,1.0418677658
SRX2568057,0.6044113514
SRX2568058,0.9913450374
SRX2568059,-1.1556021848
SRX2568060,-1.274115882
SRX2568061,-1.0940753368
SRX2568062,0.0287355927
SRX2568063,-0.0751259878
SRX2568064,0.0463903951
Abaum_0001,-0.3064134318
Abaum_0002,0.3279464696
Abaum_0003,0.2746893492
Abaum_0004,0.3294879073
Abaum_0005,0.47227305500000005
Abaum_0006,0.4931257275
Abaum_0007,0.18922638930000002
Abaum_0008,0.2257896228
Abaum_0009,0.142861904
Abaum_0010,0.1363582375
Abaum_0011,-0.0583843557
Abaum_0012,0.0583843557
Abaum_0013,-0.130695051
Abaum_0014,0.2141665971
Abaum_0015,-0.0672531977
Abaum_0016,0.16774685890000002
ERX1221046,0.07753150410000001
ERX1221048,-0.11617648200000001
ERX1221049,0.0386449779
ERX1221050,0.4291659406
ERX1221052,0.3693633241
ERX1221053,0.5568401914000001
ABNM035,0.3241926055
ABNM036,-0.3241926055
ABNM037,0.7281422465
ABNM038,-0.2253422115
ABNM041,0.5429019085
ABNM042,0.19378934350000002
ABNM019,-0.0286641974
ABNM020,0.0286641974
ABNM021,0.1648933306
ABNM022,0.2106548376
ABNM023,-0.5624125307
ABNM024,-0.5246368569000001
ABNM025,-0.4986306743
ABNM026,-0.9932435778
ABNM027,0.2930091104
ABNM028,-0.2930091104
ABNM029,0.1677941434
ABNM030,-0.48487161310000004
ABNM031,-0.47648572650000004
ABNM032,-0.6069081269000001
ABNM033,-0.5441554931
ABNM034,-0.0176314386
ABNM001,-0.12691573550000002
ABNM002,0.12691573550000002
ABNM003,0.2831326782
ABNM004,0.7638033577000001
ABNM005,-0.679677712
ABNM006,0.39431638210000003
ABNM007,-0.12590208
ABNM008,0.07906568010000001
ABNM009,0.9286269915
ABNM010,0.1655649596
ABNM043,0.11477047950000001
ABNM044,-0.11477047950000001
ABNM045,-0.4223673685
ABNM046,-0.5114063855000001
ABNM047,0.9550295795
ABNM048,0.8023570155
ABNM011,-0.0109611063
ABNM012,0.0109611063
ABNM013,-0.35950103310000003
ABNM014,-0.7043381593
ABNM015,-0.4431125064
ABNM016,-0.8942675640000001
ABNM017,-0.6402313235
ABNM018,-0.4220457013
