,iaaA
Cr_1,0.00040488109223230177
Cr_2,0.00745576105442293
Cr_3,0.016949167297285496
Cr_4,0.02280974101619744
Cr_5,0.02578530532024885
Cr_6,0.02886293110093725
Fe_1,-0.0009451945705433724
Fe_2,-0.010386971282947171
Fe_3,-0.024708913450367957
Fe_4,-0.039961074529472285
Fe_5,-0.05161861473055687
Fe_6,-0.05651869860065724
Cd_1,0.009776553536418068
Cd_2,0.02060919378776055
Cd_3,0.03096810170540288
Cd_4,0.04065950441078474
Cd_5,0.0466142117661543
Cd_6,0.05464234913012178
Zn_1,-0.0012040031331282315
Zn_2,-0.005530427455598362
Zn_3,-0.006022915318217746
Zn_4,-0.004073988090343197
Zn_5,-0.0054382846670283395
Zn_6,-0.0068448373332441045
Cu_1,-0.0030127780853819145
Cu_2,-0.005261494028335039
Cu_3,-0.0069987908235995926
Cu_4,-0.009618349753994091
Cu_5,-0.010529740979564285
Cu_6,-0.00962215645278658
Pb_1,0.005539682040553655
Pb_2,0.0161150927444684
Pb_3,0.027912670547847185
Pb_4,0.037567252422279034
Pb_5,0.045489232268911606
Pb_6,0.05247181846907163
