,-0.05951213858333333,-0.04869174975,-0.037871360916666666,-0.027050972083333333,-0.01623058325,-0.0054101944166666666,0.0054101944166666666,0.01623058325,0.027050972083333333,0.037871360916666666,0.04869174975,0.05951213858333333,0.07033252741666667,0.08115291625,0.09197330508333333,0.10279369391666666,0.11361408275,0.12443447158333333,0.13525486041666668,0.14607524924999998
thresh,-0.064922333,0.064922333,7,,,,,,,,,,,,,,,,,
unreg,0,0,11,61,441,2056,1350,313,110,44,18,10,8,4,1,2,0,0,0,0
YodB,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0
SigA,0,1,6,20,226,564,419,100,38,19,2,1,1,0,0,0,0,0,0,0
ArsR and SigA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0
CsoR and SigA,0,0,0,0,0,6,8,0,0,0,0,0,1,0,1,0,1,0,0,0
YodB and SigA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SigA and CtsR,0,0,0,0,0,3,4,5,1,1,3,1,0,0,0,0,1,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],['hxlR' 'yvbT' 'ydeP' 'S185' 'S1304' 'ywnB' 'yceK' 'ykvN'],['ydgI' 'S496' 'ydgJ' 'S144'],['hypR'],['S76' 'fabHB'],[],[],[],[]
YodB_genes,[],[],[],[],[],[],[],[],['S754' 'yodB' 'yodC'],[],[],[],['S736' 'azoR1'],[],[],[],[],[],[],[]
