,A,CsoR,ArsR,CtsR,YodB,SigA
R2,,0.6365984491898435,0.6028784890395438,0.47003556816410563,0.35503502791253594,0.0231755016740548
xmin,,8.2551,8.3208,11.0389,8.339,10.6334
xmid,,11.8496050707016,,,10.993797144060123,
xmax,,14.3112,16.4567,16.4539,11.9832,14.8203
ystart,,1.6005903040312432,-7.683168761019502,-12.231975290583435,2.7478013623796187,10.985327681804314
yend,,55.03993767512378,41.945816342071964,22.77994571292642,57.3729427355413,0.7235092363535855
LBexp_1,2.6408099648,11.37,10.1997,14.4778,10.1844,13.9229
LBexp_2,1.7185598926,11.6112,9.9872,13.7208,10.492,13.6986
LBexp_3,0.0914916508,10.9896,9.9004,13.5381,10.0648,13.5366
LBtran_1,8.953759425,11.7571,10.887,14.5521,10.874600000000001,13.5861
LBtran_2,5.9133147046,11.3411,10.0751,14.0633,10.566,13.6947
LBtran_3,4.0234488243,11.14,10.0537,14.0283,10.4166,13.6814
LBstat_1,1.2825295095,9.7776,9.0757,12.8004,9.7888,13.746
LBstat_2,-0.2531941636,9.2405,8.8947,12.6437,9.206,13.8294
LBstat_3,-0.7824715312,9.1478,8.67,12.2289,8.9999,13.7637
LBGexp_1,1.6882620689,11.512,9.4621,12.8622,9.8104,14.0966
LBGexp_2,5.736915428,11.5025,10.3949,13.3203,10.2254,13.9632
LBGexp_3,0.22691604210000002,11.3511,9.9893,13.141,9.8236,14.2782
LBGtran_2,-1.5285112489000001,10.5264,10.2669,13.2893,10.0386,13.6213
LBGtran_3,0.7444807998,11.7538,10.478,13.2281,10.5445,13.9309
LBGstat_1,-0.37823552050000003,8.374,9.7639,11.8958,9.6846,13.8958
LBGstat_2,1.4182323626,8.2551,10.1275,12.1644,9.2357,13.2182
LBGstat_3,2.6400709402,10.1311,10.0137,11.6783,9.8291,12.9318
S0_1,-3.5715414688,10.2705,9.811,13.4085,9.4516,13.7975
S0_2,-4.6959190376,10.8648,9.775500000000001,13.3919,9.5137,13.5336
S0_3,-4.6153043808,11.0586,9.4866,13.3234,9.5836,13.7362
S1_1,3.8890924049,11.474,10.7585,14.525500000000001,10.4693,14.1328
S1_2,5.2736645617,11.4155,10.3826,14.4031,10.5855,14.2092
S1_3,3.9952581571,11.634,10.6154,14.6067,10.5225,14.064
S2_1,4.3139942117,10.8194,9.7174,14.1705,10.365,12.1327
S2_2,1.7550438025,10.4266,9.5547,14.1614,10.2183,12.2083
S2_3,3.1472313213,10.3101,9.5299,13.9105,10.3229,11.9224
S3_1,2.6081660073,10.9713,10.6931,14.591,10.5648,13.7874
S3_2,1.1831041988,11.2135,10.1949,14.39,10.5571,12.9115
S4_1,3.0491069716,11.0469,10.8469,14.2645,10.9722,13.3174
S4_2,2.6845281265,10.4714,10.3754,14.0877,10.6725,13.6235
S4_3,3.3174401075,10.5132,10.4498,14.231,10.6844,13.5395
S5_1,4.9353585192,10.3973,10.8927,14.0456,10.9858,13.9484
S5_2,6.0829494543,10.873,11.3499,14.2599,11.1003,14.1419
S5_3,4.2196628092,10.8301,11.087,14.2976,11.2277,13.9735
S6_1,6.1396136589,9.4199,10.1889,13.9381,10.571,14.1058
S6_2,11.226509603,8.8755,10.3626,13.782,8.6908,14.8051
S6_3,5.5585143327,9.6038,10.0978,14.126,10.4566,13.7208
S6/t_1,5.5463119818,9.4272,9.9558,13.4699,10.6692,14.058
S6/t_2,8.9173809527,8.4121,9.1386,12.08,8.339,14.1715
S6_4,3.8485663789,9.6655,9.895,12.6837,10.1759,13.8429
S6_5,3.2394306261,9.8599,10.4205,13.0909,10.7321,14.2173
S6_6,3.854263733,10.045,10.4057,13.3819,10.9791,14.1053
S7_4,4.9217732589,10.0891,10.8323,13.1243,10.6451,13.8537
S7_5,5.9030029853,10.069,10.8861,13.1416,10.4479,13.728
S7_6,4.7971114763,10.1772,10.7675,12.8805,10.4834,13.6696
S8_4,5.6829744624,9.5825,10.3354,12.7013,10.1289,13.1727
