,yfdL
Cr_1,-0.010178515757538592
Cr_2,-0.010683544180127015
Cr_3,0.0025024921279157807
Cr_4,0.017810593693579145
Cr_5,0.03052172717732715
Cr_6,0.03765822254099591
Fe_1,-0.02377045096289986
Fe_2,-0.06289711890139968
Fe_3,-0.08268095732082098
Fe_4,-0.10113306897702724
Fe_5,-0.09936060407446176
Fe_6,-0.1223086914105024
Cd_1,0.0070338912637133025
Cd_2,0.009460312708559716
Cd_3,0.01671514369031122
Cd_4,0.02435083538544856
Cd_5,0.030927354418920014
Cd_6,0.035214125810792904
Zn_1,0.0048992449161568965
Zn_2,0.015977470693382904
Zn_3,0.04077525664820238
Zn_4,0.0626468497200293
Zn_5,0.08301241176494786
Zn_6,0.09454459190568204
Cu_1,0.005407213358603626
Cu_2,0.009292621924519172
Cu_3,0.012078513096802924
Cu_4,0.0156512631972444
Cu_5,0.018030302980650142
Cu_6,0.02563149542764773
Pb_1,-0.0008861455221547953
Pb_2,-0.011373195839233172
Pb_3,-0.006808985999052161
Pb_4,0.014165835618337331
Pb_5,0.034797392832280935
Pb_6,0.03171174979808502
