,mazG
Cr_1,-0.0059876177332727895
Cr_2,-0.002688353647437993
Cr_3,-0.012017556570354805
Cr_4,-0.010260255159589523
Cr_5,-0.014188981623379138
Cr_6,-0.0428335944955107
Fe_1,-0.03549284299781807
Fe_2,-0.051515174038623775
Fe_3,-0.056098154245357135
Fe_4,-0.06013743866254018
Fe_5,-0.06632640510631871
Fe_6,-0.06567084676439096
Cd_1,0.016901667887460697
Cd_2,0.021624601349806413
Cd_3,0.028768192821554475
Cd_4,0.041238533471579866
Cd_5,0.0496336736879707
Cd_6,0.055572703784748496
Zn_1,-0.02337967080548106
Zn_2,-0.036396909585071135
Zn_3,-0.04980003927362132
Zn_4,-0.050328861369441855
Zn_5,-0.059147484239681726
Zn_6,-0.06769268342417628
Cu_1,0.00617514682310001
Cu_2,0.011426136563872305
Cu_3,0.021443014247548457
Cu_4,0.02947906010895795
Cu_5,0.04709584471347565
Cu_6,0.0523243821099441
Pb_1,0.0096666428965877
Pb_2,0.014276203277969022
Pb_3,0.016726637875139984
Pb_4,0.02235027202635689
Pb_5,0.011215674623914141
Pb_6,0.003630662189570939
