,A,SoxS
R2,,0.701901045568438
xmin,,-6.550050657000001
xmid,,-0.008885805833672709
xmax,,6.984065303
ystart,,-2.251384581266725
yend,,19.6718238892699
control__wt_glc__1,-0.0422681936309477,0.049455717999999926
control__wt_glc__2,0.0422681936309569,-0.049455717999999926
fur__wt_dpd__1,3.5396426262308784,1.5334292410000003
fur__wt_dpd__2,3.5535707418096814,1.594203385
fur__wt_fe__1,-0.7655432069118575,-0.43744470499999893
fur__wt_fe__2,-0.6151256645493788,-0.2912571249999996
fur__delfur_dpd__1,1.4208180617079338,0.8125968009999998
fur__delfur_dpd__2,0.994709069976984,0.6166450680000004
fur__delfur_fe2__1,0.4421549611890888,1.6357362210000002
fur__delfur_fe2__2,0.5560980921503786,1.6577802209999994
acid__wt_ph5__1,-0.0250048588814032,0.09081262200000052
acid__wt_ph5__2,0.1560782084763886,0.07830573200000046
acid__delgadx_ph5__2,0.0889124578921703,0.12884882600000047
acid__delgadw_ph5__1,0.2206688526868249,0.525186766
acid__delgadw_ph5__2,0.0642605164799593,0.6129703869999998
acid__delgade_ph5__1,-0.1484318723196229,0.2856229729999997
acid__delgade_ph5__2,-0.0815920775748505,0.3201830850000009
oxidative__wt_pq__1,18.60414104674845,6.456181582999999
oxidative__wt_pq__2,18.235140663300243,6.395162773000001
oxidative__deloxyr_pq__1,19.40376404920456,6.799795283
oxidative__deloxyr_pq__2,18.8742425760029,6.855191163000001
oxidative__delsoxr_pq__1,1.9569867815223605,1.348971495000001
oxidative__delsoxr_pq__2,1.8622504121635453,1.337856586
oxidative__delsoxs_pq__1,-1.9569022711631092,-6.550050657000001
oxidative__delsoxs_pq__2,-1.7362305729354492,-6.550050657000001
nac_ntrc__wt_csn__1,7.202186559219084,4.509580743000001
nac_ntrc__wt_csn__2,7.288297101831502,4.373993363
nac_ntrc__wt_cytd__1,7.499215569738759,3.923316113
nac_ntrc__wt_cytd__2,7.48493863127598,4.038561113
nac_ntrc__wt_gln__1,0.6590966724713345,0.6955478619999997
nac_ntrc__wt_gln__2,0.6736447360294708,0.7054003100000008
nac_ntrc__bw_delnac_csn__1,6.705418546809722,4.859733823000001
nac_ntrc__bw_delnac_csn__2,7.162057129022895,4.714820743000001
nac_ntrc__bw_delnac_cytd__1,5.204896006664427,3.754196063
nac_ntrc__bw_delnac_cytd__2,4.999037654484118,3.503499413
nac_ntrc__bw_delnac_gln__1,0.5995744730851094,0.7696058880000001
nac_ntrc__bw_delnac_gln__2,0.7708153131392376,1.0939478009999988
nac_ntrc__bw_delnac_nh4__1,-1.961391311125108,-0.06622103800000012
nac_ntrc__bw_delnac_nh4__2,-1.0709236507867386,0.163485863
misc__wt_no_te__1,-0.2954877528343221,0.08015164600000002
misc__wt_no_te__2,-0.9459296363822086,0.18196939200000006
misc__bw_delcbl__1,-1.3059996328682475,-0.3762665329999999
misc__bw_delcbl__2,-1.1889606561260084,-0.10650930900000066
misc__bw_delfabr__1,-1.2489566197865394,-0.15195571400000052
misc__bw_delfabr__2,-1.4001759636036235,-0.003365329999999389
misc__bw_delfadr__1,-1.6296742351002802,-0.11993250200000015
misc__bw_delfadr__2,-1.200897257043229,-0.09691740199999987
misc__nitr_031__1,-0.2718541051574456,0.20582170100000047
omics__wt_glu__1,0.1036459662462847,2.187738135
omics__wt_glu__2,0.2393587094601429,2.398456643000003
omics__wt_gly__1,-0.4331323208712877,1.7066110269999992
omics__wt_gly__2,-0.6109776396644431,1.6637738400000008
omics__wt_thr__1,-2.2172883013055515,1.6076593520000009
omics__wt_thr__2,-1.976685804002385,1.7848308350000008
omics__bw_ac__1,-1.1099260510606463,0.8644434159999994
omics__bw_ac__2,-1.2819818045191398,0.6966265519999997
omics__bw_fum__1,-2.6203844543015795,0.17858593700000025
omics__bw_fum__2,-2.375937592379908,0.22063273199999853
omics__bw_glc__1,-1.0096043815414608,0.4919811140000006
omics__bw_glc__2,-0.7344084411488688,0.5130757159999995
omics__bw_pyr__1,-1.2532441569667223,0.6773411250000008
omics__bw_pyr__2,-1.6783999506587133,0.4196416550000004
ompr__wt_nacl__1,0.7799727724438559,-0.6263516029999998
ompr__wt_nacl__2,0.8619371965408276,-0.9560239470000004
ompr__bw_delompr_nacl__1,3.1744246210849467,0.5530135350000007
