,murA
Cr_1,-0.012474204441896085
Cr_2,-0.024044112407522543
Cr_3,-0.009854931665787487
Cr_4,-0.002336958476050405
Cr_5,0.006128333951369284
Cr_6,0.032508246371345084
Fe_1,-0.014129433054926057
Fe_2,-0.032578688524386966
Fe_3,-0.04444228518842985
Fe_4,-0.05304356327578555
Fe_5,-0.06242885546755539
Fe_6,-0.0648936008797227
Cd_1,-0.00220442191394979
Cd_2,-0.006122015096228685
Cd_3,-0.00682185791977221
Cd_4,-0.0066250026366046575
Cd_5,-0.007057507595677174
Cd_6,0.00067004098281415
Zn_1,7.005196919434572e-05
Zn_2,-0.0031214483392504712
Zn_3,-0.006942881662619376
Zn_4,-0.011772576780311073
Zn_5,-0.01431714677102084
Zn_6,-0.013487392770166152
Cu_1,-0.0014775453336009676
Cu_2,-0.0011448053742536286
Cu_3,0.0004156410100135208
Cu_4,-0.0017211600505517757
Cu_5,0.0017080409412314078
Cu_6,0.005402322425824492
Pb_1,0.004439131978361451
Pb_2,0.006245859711994717
Pb_3,0.008475925349238012
Pb_4,0.0226829982157963
Pb_5,0.02695371354426793
Pb_6,0.02293150806811227
