,ydiP
Cr_1,0.006308848811912886
Cr_2,0.007394579201983368
Cr_3,0.0212347016792127
Cr_4,0.028384602585105976
Cr_5,0.02808166155005655
Cr_6,0.02409389258233229
Fe_1,-0.01974680892380021
Fe_2,-0.05762468856968112
Fe_3,-0.1043414808859514
Fe_4,-0.1592887896714916
Fe_5,-0.20050743277029454
Fe_6,-0.2341854718525388
Cd_1,0.0020467413377881763
Cd_2,0.0033256393588185803
Cd_3,-0.004832053172725365
Cd_4,-0.010080290683698086
Cd_5,-0.011416429642719477
Cd_6,-0.013488385801227305
Zn_1,-0.02858152974475495
Zn_2,-0.05697732055687564
Zn_3,-0.07666641732725035
Zn_4,-0.0993857902803856
Zn_5,-0.10270461407341556
Zn_6,-0.11732125476363273
Cu_1,0.008108546362746213
Cu_2,0.02021982742451771
Cu_3,0.020132535091459132
Cu_4,0.015708609461673673
Cu_5,0.01652163672444864
Cu_6,0.017808752700173715
Pb_1,0.0009556181656890404
Pb_2,0.014729940638278653
Pb_3,0.032265136832029154
Pb_4,0.04131712040140028
Pb_5,0.0532405338032301
Pb_6,0.06842612907798126
