,A,FapR
R2,,0.3628372225020887
xmin,,-3.3898799274030043
xmid,,
xmax,,1.919047783417428
ystart,,-11.689498169710369
yend,,4.941998037445794
amb:ctrl:1,-0.9295448617178936,0.15117316340771758
amb:ctrl:2,1.8570708767845423,0.23158221739821985
amb:ctrl:3,-0.9275260150666422,-0.3827553808059392
amb:amb:1,1.5189427820301358,0.038648882096113724
amb:amb:2,-5.051103572603829,-0.8932696380458509
amb:amb:3,-3.1887562257075697,-0.5433782396145901
ave1:ctrl_5m:1,-1.3410084849533614,-0.06205807392973295
ave1:vdave1_5m:1,1.9076659275164816,0.08348771575876235
ave1:ctrl_20m:1,2.9297770386235027,0.41744552745571895
ave1:vdave1_20m:1,1.1079818924316482,0.21471922159252976
ave1:supernatant_5m:1,0.8069039959554467,-0.15144360086609066
ave1:vnave1_20m:1,1.1399213517859663,0.14483852135965591
ave1:supernatant_20m:1,2.9342210634923567,0.40227337457926093
ave1:ctrl_5m:2,1.341008484953349,0.06205807392973384
ave1:vdave1_5m:2,2.863469002266569,0.22773236659849336
ave1:ctrl_20m:2,3.846765509633303,0.4330605187317804
ave1:vdave1_20m:2,-0.6795673206768417,-0.09608516628696062
ave1:supernatant_5m:2,-0.7701878849364722,-0.06843058801464874
ave1:vnave1_20m:2,0.8948982599266758,0.04770493848079305
ave1:supernatant_20m:2,2.7535132714463053,0.3380512365408279
biofilm_time:8h:1,-0.0223099197264408,-0.1948809501954933
biofilm_time:8h:2,0.2856113401828293,0.09253658813945087
biofilm_time:8h:3,0.045976751070224996,0.11519092826580568
biofilm_time:8h:4,-0.30927817152661,-0.012846566209759658
biofilm_time:12h:1,-1.1744553405010558,-0.6876652156022445
biofilm_time:12h:2,-0.35252815765725143,-0.0036038205844075577
biofilm_time:12h:3,-0.7651939957480893,-0.20577958846663516
biofilm_time:12h:4,-0.5397805184590928,-0.1946231225953099
biofilm_time:16h:1,-5.738786005017515,-1.1728327425112246
biofilm_time:16h:2,-4.952996068225176,-1.7131805612338369
biofilm_time:16h:3,-7.886891192989608,-1.9788799614985075
biofilm_time:16h:4,-8.483349654821339,-1.9055939758171228
biofilm_time:20h:1,-8.729722527134879,-1.1821689549337453
biofilm_time:20h:2,-6.628857857725572,-1.4907891892132348
biofilm_time:20h:3,-9.34038328913722,-1.1732631881216289
biofilm_time:20h:4,-7.955544689584193,-1.4221903409595802
biofilm_time:24h:1,-8.169765577489574,-1.6650158010695402
biofilm_time:24h:2,-7.775074353752262,-1.4110864822418998
biofilm_time:24h:3,-7.8547588574669005,-1.6373614123285851
biofilm_time:24h:4,-7.617985070634389,-1.4376557291425414
biofilm_time:28h:1,-9.520573724317382,-1.2635924851707534
biofilm_time:28h:2,-7.82680704622855,-1.118972056517208
biofilm_time:28h:3,-7.956181748524048,-1.0694278304720264
biofilm_time:28h:4,-9.355955706604666,-1.438011724400475
biofilm_time:32h:1,-8.048447686966641,-0.89767322571769
biofilm_time:32h:2,-8.086404586722576,-0.9735192109005252
biofilm_time:32h:3,-9.183242051856011,-0.728275770545471
biofilm_time:32h:4,-8.417442346303757,-0.8309888626641797
codY:wt:1,-0.14256252624109866,-0.027468700204096308
codY:wt:2,0.14256252624108606,0.02746870020409453
codY:ctrl:1,-2.1295627070502565,-0.4868681716408769
codY:ctrl:2,-1.5580326081506268,-0.12397782569379777
codY:codYR61K:1,-2.4357576586631384,-0.3366966399624207
codY:codYR61K:2,-1.3634481893339312,-0.2832075012782393
codY:codYR61H:1,-2.7935165696076147,-0.4633561684377802
codY:codYR61H:2,-2.435420522429699,-0.12154715502207306
codY:codYF71Y:1,-0.5168322039022937,-0.1260951865199047
codY:codYF71Y:2,-1.1778111398321118,-0.14063648783210958
decay:wt:1,-0.5758960376629503,-0.10178123650869696
decay:wt:2,0.2759325180895181,-0.0036186098851604953
decay:wt:3,0.2999635195734339,0.10539984639385658
decay:delpnpA:1,7.608920089029416,0.44383148352290736
decay:delpnpA:2,7.4462295359962205,0.4624735222345757
decay:delpnpA:3,8.192449720676438,0.33065736224487896
ecm_tasA:deltasA:1,0.21649604641300496,0.4712573512972673
ecm_tasA:deltasA:2,-0.9279828369849388,0.2283804148441515
ecm_tasA:deltasA:3,-1.579308736901755,-0.10527890972323206
ecm_tasA:delcssRS:1,-2.4622642844608067,0.5017203207059016
ecm_tasA:delcssRS:2,-0.3686109091538596,0.4861007749332851
