,ybaY
Cr_1,0.001480181510667248
Cr_2,0.007229465150029264
Cr_3,0.013531374933212504
Cr_4,0.020423145507781758
Cr_5,0.023479473678744072
Cr_6,0.028492979557480487
Fe_1,-0.012832081269320941
Fe_2,-0.05037391068906992
Fe_3,-0.10437360788072424
Fe_4,-0.17290510232633274
Fe_5,-0.23441528036424195
Fe_6,-0.283637313304709
Cd_1,0.0012519861004666743
Cd_2,0.0009917686865970738
Cd_3,0.0006564291414027316
Cd_4,-0.0010917536216502742
Cd_5,-0.007772405300169825
Cd_6,-0.007004162991306557
Zn_1,-0.0019319619312928367
Zn_2,-0.007502955932976542
Zn_3,-0.007562744391754471
Zn_4,-0.002296984264179108
Zn_5,0.009725946254919569
Zn_6,0.020988193838497617
Cu_1,0.014182899988351675
Cu_2,0.024282213574356604
Cu_3,0.035065412335555185
Cu_4,0.041543135196951686
Cu_5,0.04674249149252862
Cu_6,0.05392799622176191
Pb_1,0.011150173598384454
Pb_2,0.023850754962487244
Pb_3,0.03727051769032971
Pb_4,0.05527618939116656
Pb_5,0.07380735170323444
Pb_6,0.0953311179618477
