,srlA
Cr_1,0.007755028690369338
Cr_2,0.017782837963249795
Cr_3,0.0271791214744422
Cr_4,0.03556992676734383
Cr_5,0.04196514475997965
Cr_6,0.046721658195164814
Fe_1,-0.05130679329818677
Fe_2,-0.035569222589722886
Fe_3,-0.011035073636168449
Fe_4,0.01134230287070427
Fe_5,0.036291468309030656
Fe_6,0.04108144251630634
Cd_1,0.019969868020063973
Cd_2,0.04107618456815909
Cd_3,0.06317796928468856
Cd_4,0.08915495733333455
Cd_5,0.11388805726526376
Cd_6,0.14250964023795126
Zn_1,-0.0013133504931823372
Zn_2,0.017043201604401575
Zn_3,0.050052631235393635
Zn_4,0.07885231428884362
Zn_5,0.11234768759975336
Zn_6,0.13872737260784795
Cu_1,0.0045897553798776814
Cu_2,0.014869851830772178
Cu_3,0.025285176766897368
Cu_4,0.029194279165560173
Cu_5,0.032284797019293564
Cu_6,0.0417643216892161
Pb_1,0.0006435993697982299
Pb_2,0.004272408846916495
Pb_3,0.012564260461556998
Pb_4,0.020052772385219457
Pb_5,0.02691527579249295
Pb_6,0.040625505859504536
