,borD
Cr_1,0.016640599439544483
Cr_2,0.014786302285410594
Cr_3,0.009074244536296664
Cr_4,0.018185837307096917
Cr_5,0.0144962411192952
Cr_6,0.013938069513531784
Fe_1,-0.0045180499811112
Fe_2,-0.023903353472436124
Fe_3,-0.03995801332577637
Fe_4,-0.024417722386477457
Fe_5,-0.007330488376501456
Fe_6,0.028224057372180214
Cd_1,0.0019508437279507206
Cd_2,0.009366572825074285
Cd_3,0.015150803556663954
Cd_4,0.013815197827603166
Cd_5,0.013982856808097077
Cd_6,0.020236773079695267
Zn_1,-0.08597666112756748
Zn_2,0.057078696274588274
Zn_3,0.4219388805803739
Zn_4,0.6917139976836041
Zn_5,1.0802087654229275
Zn_6,1.3409440078960593
Cu_1,0.0065642077908967655
Cu_2,0.02183822080315513
Cu_3,0.03447370901702014
Cu_4,0.05050077005846322
Cu_5,0.07540162077015469
Cu_6,0.08965180111430407
Pb_1,-0.003597313263511224
Pb_2,0.006630432829464894
Pb_3,0.01744595514787255
Pb_4,0.01590231795258757
Pb_5,0.02741355234034637
Pb_6,0.04050554510468393
