,yhaM
Cr_1,-0.0008225411170053638
Cr_2,0.0007375683503020185
Cr_3,0.002414799793248645
Cr_4,0.002341605025604197
Cr_5,0.005154047647903918
Cr_6,0.004594647125143911
Fe_1,-0.012271984021744457
Fe_2,-0.0283053845327198
Fe_3,-0.04511932462819868
Fe_4,-0.06437145596770842
Fe_5,-0.0686044083391807
Fe_6,-0.07633410002029774
Cd_1,0.0034952490199163717
Cd_2,0.0063834892036328346
Cd_3,0.008993305060100626
Cd_4,0.014099416776764209
Cd_5,0.008996183683633467
Cd_6,0.013042993182078782
Zn_1,-0.0018893758629776973
Zn_2,-0.0032913702268198754
Zn_3,0.0029797929195333212
Zn_4,0.016224805520470502
Zn_5,0.02412367381877933
Zn_6,0.030170816933419012
Cu_1,0.004943207408323905
Cu_2,0.007445007767546042
Cu_3,0.00870580347327049
Cu_4,0.011129330016835096
Cu_5,0.012107387849012885
Cu_6,0.010465237809742341
Pb_1,-0.004847064423678959
Pb_2,-0.009670969103878728
Pb_3,-0.013948551671415305
Pb_4,-0.014637078864026772
Pb_5,-0.015260597926264215
Pb_6,-0.011646630356546272
