,glpA
Cr_1,0.005341545365020528
Cr_2,0.007090312953532642
Cr_3,0.01574282679725056
Cr_4,0.019762567844622908
Cr_5,0.024315431305023703
Cr_6,0.02996099337602377
Fe_1,-0.006564527436458469
Fe_2,-0.006158431368838476
Fe_3,0.0040219744810376535
Fe_4,0.013765059737699224
Fe_5,0.025341211464819168
Fe_6,0.033085586781367415
Cd_1,0.00641187468402163
Cd_2,0.006009847269897468
Cd_3,0.010352304902308576
Cd_4,0.014081840992330502
Cd_5,0.013944249406028744
Cd_6,0.020345025376315662
Zn_1,-0.005477072741161965
Zn_2,-0.004888943806391091
Zn_3,0.0007513992371606978
Zn_4,0.010669475514148315
Zn_5,0.024742308638924126
Zn_6,0.030515576268534583
Cu_1,0.0016788194643926509
Cu_2,0.00572799161592796
Cu_3,0.019952040619065286
Cu_4,0.035088726806402765
Cu_5,0.05396387134459317
Cu_6,0.06394948505278955
Pb_1,0.005704015985917043
Pb_2,0.02065509428747608
Pb_3,0.03663837341801484
Pb_4,0.04557307206885597
Pb_5,0.059728653138492564
Pb_6,0.07043333921604825
