,trmE
Cr_1,0.001563739400942632
Cr_2,0.003610150125368484
Cr_3,0.016710085589938518
Cr_4,0.03729954090831289
Cr_5,0.05088806891469362
Cr_6,0.06736874707958307
Fe_1,-0.020148078155770383
Fe_2,-0.049194279144459535
Fe_3,-0.08158207473529437
Fe_4,-0.12596742208869627
Fe_5,-0.18018852591233245
Fe_6,-0.2242771949744157
Cd_1,-0.0038413500220722506
Cd_2,0.0029621589298154077
Cd_3,0.02042240080608257
Cd_4,0.03046690463592581
Cd_5,0.037367635140240274
Cd_6,0.04531724317150385
Zn_1,-0.04188562819686618
Zn_2,-0.12408445380674656
Zn_3,-0.16290213551794572
Zn_4,-0.12922778588741773
Zn_5,0.031421743126851365
Zn_6,0.014457140732309881
Cu_1,-0.0006241101677736963
Cu_2,-0.002968893688542595
Cu_3,-0.00442226427870187
Cu_4,0.001720354143620062
Cu_5,0.007131958411196903
Cu_6,0.014475815934685991
Pb_1,-0.002633642536212405
Pb_2,0.0031340101280450026
Pb_3,0.02607012804364129
Pb_4,0.048137330872461234
Pb_5,0.06108857675935728
Pb_6,0.0782137116424521
