,A,YmfT
R2,,0.6357314500939213
xmin,,-1.5579887325
xmid,,
xmax,,5.0978412625
ystart,,-1.8752873303382875
yend,,8.406002759002915
control__wt_glc__1,-0.5185444144806145,-0.6847799965000001
control__wt_glc__2,0.518544414480603,0.6847799964999999
fur__wt_dpd__1,-0.2716450788335668,0.20704832750000013
fur__wt_dpd__2,-0.0717964386248201,-0.18768290650000008
fur__wt_fe__1,1.5552043694095914,-0.28936204449999997
fur__wt_fe__2,1.909245247643277,0.3755638115000002
fur__delfur_dpd__1,4.505140761345742,0.8435424014999999
fur__delfur_dpd__2,4.765643498790435,1.5156572535000004
fur__delfur_fe2__1,11.103089331490812,3.0753681825
fur__delfur_fe2__2,10.928325393210724,3.1731830914999994
acid__wt_ph5__1,0.0536234119122987,0.9700587275
acid__wt_ph5__2,-0.6821359564091746,0.5425653215000004
acid__delgadx_ph5__2,1.7390235413144126,0.2248295155000002
acid__delgadw_ph5__1,1.1936155590730635,1.2801788695
acid__delgadw_ph5__2,1.5188618386961212,0.42334422250000014
acid__delgade_ph5__1,-0.6571762670991742,0.6880164315000001
acid__delgade_ph5__2,-0.2985571158970185,0.8111753015000003
oxidative__wt_pq__1,-0.5077254306177154,-0.0366002365
oxidative__wt_pq__2,0.5471119007526711,0.2424117815
oxidative__deloxyr_pq__1,-0.1975730259453827,-0.3588386534999999
oxidative__deloxyr_pq__2,-0.1161018870740558,-0.11474930149999985
oxidative__delsoxr_pq__1,1.6455744113679194,0.8157582855000001
oxidative__delsoxr_pq__2,1.3359135159922826,0.4022371095000001
oxidative__delsoxs_pq__1,2.2125304918021804,0.9174405655000004
oxidative__delsoxs_pq__2,1.856853491967824,0.6581375845000002
nac_ntrc__wt_csn__1,3.361915139871777,1.0733284155
nac_ntrc__wt_csn__2,3.334325384975734,0.9533208125
nac_ntrc__wt_cytd__1,-0.6098620670205471,-0.17869014449999976
nac_ntrc__wt_cytd__2,-1.0969603045561782,-0.8881453785
nac_ntrc__wt_gln__1,-2.2525154673906385,-1.5579887325
nac_ntrc__wt_gln__2,-2.7129145262529666,-1.5579887325
nac_ntrc__bw_delnac_csn__1,6.493891958786936,1.9873537215
nac_ntrc__bw_delnac_csn__2,6.969688248583656,2.1299607535
nac_ntrc__bw_delnac_cytd__1,-0.9828457801162972,-0.5308408915
nac_ntrc__bw_delnac_cytd__2,-0.3076794019038116,0.07244544450000001
nac_ntrc__bw_delnac_gln__1,-0.7963003053195109,1.0981589975
nac_ntrc__bw_delnac_gln__2,-3.9702414878190058,-1.5579887325
nac_ntrc__bw_delnac_nh4__1,0.0359243574384667,-0.3729258554999999
nac_ntrc__bw_delnac_nh4__2,-0.9012130987866068,0.17632126350000002
misc__wt_no_te__1,-0.5701747078784986,-0.4101123784999998
misc__wt_no_te__2,0.1674445307183776,0.3273064525
misc__bw_delcbl__1,-0.4963796186482449,-0.3491423965
misc__bw_delcbl__2,-0.007447319431321,-0.18276555249999984
misc__bw_delfabr__1,-0.0422329550364664,-0.23551669749999984
misc__bw_delfabr__2,0.2585058263356183,-0.7450678224999999
misc__bw_delfadr__1,1.0231042642961752,0.0021065505000001927
misc__bw_delfadr__2,0.197685407712413,0.5544800975000002
misc__nitr_031__1,-0.0750059362233034,-0.00961722949999988
omics__wt_glu__1,-0.9870119609604366,-0.8496461334999998
omics__wt_glu__2,-0.111946845182487,0.5704389175
omics__wt_gly__1,0.5583104812169638,-0.9047270804999998
omics__wt_gly__2,1.9658942074154475,0.3726821575000001
omics__wt_thr__1,2.528910907331283,0.8992588995000002
omics__wt_thr__2,1.7832320261449053,0.4960964285000002
omics__bw_ac__1,-0.3132062791805031,-1.5579887325
omics__bw_ac__2,0.5311906269063206,0.18115619250000006
omics__bw_fum__1,1.479768524813737,-0.2906053195
omics__bw_fum__2,2.679944551005129,0.2028543985
omics__bw_glc__1,-0.8986756906376036,-0.8224363434999998
omics__bw_glc__2,-0.1686390844330023,-0.43662742349999983
omics__bw_pyr__1,-0.8141045545467648,-1.5579887325
omics__bw_pyr__2,1.518578895502947,0.7664022344999999
ompr__wt_nacl__1,0.0677401506085249,0.0031017305000002877
ompr__wt_nacl__2,-0.3262520072650581,0.0826430775
ompr__bw_delompr_nacl__1,-1.8512418288539536,-0.2321311945
ompr__bw_delompr_nacl__2,-1.0404020568045838,0.3726096605
minspan__wt_ade__1,6.697035888415506,2.9866121085
minspan__wt_glc__2,2.09302081788247,1.1819458145000001
minspan__wt_glc__3,1.6657899842180648,1.1830849995000001
minspan__wt_glc__4,-0.1017529010064136,-1.5579887325
minspan__wt_glc_anaero__1,1.424125313426513,-0.6609543284999999
minspan__wt_glc_anaero__2,-0.8730424064968312,-0.5294444165000001
minspan__wt_trp__1,1.3112323299079611,-0.27704204349999983
minspan__bw_delcra_glc__2,2.293866200313724,0.1255509705000002
minspan__bw_delcra_trp__1,2.9679257520447853,0.6206542135000002
minspan__bw_delmntr__1,2.0653653607673665,0.4236414255000001
minspan__bw_delnac_ade__1,1.0027431371333757,-1.5579887325
minspan__bw_delnac_glc__1,4.128683915617208,2.1898471615000004
cra_crp__wt_ac__1,1.821960997868248,0.3714010515000001
cra_crp__wt_ac__2,2.106413647434793,-0.18885499949999973
cra_crp__wt_fru__1,2.09378346451569,0.8813354455000002
cra_crp__wt_fru__2,1.7854104213342703,0.06653837250000016
cra_crp__delcra_ac__1,3.6956009597501183,1.5199597795
cra_crp__delcra_ac__2,5.3893366454919285,1.6116005875
cra_crp__delcra_fru__1,1.4605491958181835,0.8436001694999999
cra_crp__delcra_fru__2,1.4152203257505906,1.0597616105
cra_crp__delcra_glc__1,1.1611299357247116,0.17820462150000016
cra_crp__delcra_glc__2,1.57990228102335,0.9699913415
rpoB__wt_031__1,1.5595184086825833,-0.7119408774999999
rpoB__wt_044__1,0.0486517129221337,-0.8179527794999999
rpoB__wt_lb__1,1.7777578083302867,1.2025952135000002
rpoB__wt_lb__2,1.004633263248656,0.9976310355000002
rpoB__rpoBE546V_031__1,1.5391891062845628,0.4666126625
rpoB__rpoBE546V_044__1,2.7290938607390807,1.6632318775
rpoB__rpoBE546V_lb__1,-1.803087844618437,0.23247328750000015
rpoB__rpoBE546V_lb__2,-1.3408665494897645,-1.5579887325
rpoB__rpoBE546V_glc__1,-0.4508827871023644,-1.5579887325
rpoB__rpoBE672K_glc__1,-2.210321021630578,-1.5579887325
rpoB__rpoBE672K_glc__2,-1.2911292741188063,-1.5579887325
rpoB__rpoBE672K_lb__1,1.4834617304722455,-0.13459523150000008
rpoB__rpoBE672K_lb__2,0.4831880448326255,-0.4831098004999999
crp__wt_fru__1,2.1401555334196605,0.9903338025
crp__wt_glyc__1,3.873822541684413,0.8350507605000004
crp__wt_glyc__2,4.151001907425853,1.6013392665000001
crp__delar1_glyc__1,-3.181710052842501,-1.5579887325
crp__delar1_glyc__2,-4.540921147647869,-1.5579887325
crp__delar1ar2_glyc__1,-3.338179670420818,-1.5579887325
crp__delar1ar2_glyc__2,-3.527042633982231,-1.5579887325
crp__delar1ar2_glyc__3,-3.8072068806872856,-1.5579887325
crp__delar2_glyc__1,-4.118879421321099,-1.5579887325
crp__delar2_glyc__2,-4.186028648154591,-1.5579887325
crp__delar2_glyc__3,-3.977242626954967,-1.5579887325
crp__delcrp_fru__1,-4.767657808225231,-1.5579887325
crp__delcrp_fru__2,-4.420975664241185,-1.5579887325
crp__delcrp_fru__3,-4.812410086715067,-1.5579887325
crp__delcrp_glc__1,-4.276888738977443,-1.5579887325
crp__delcrp_glc__2,-4.339237592699908,-1.5579887325
crp__delcrp_glc__3,-4.764398226986753,-1.5579887325
crp__delcrp_glyc__1,-4.100981790325716,-1.5579887325
crp__delcrp_glyc__2,-4.433388856451814,-1.5579887325
crp__delcrp_glyc__3,-4.161605285998331,-1.5579887325
glu__glu_ale3__1,-0.9827817754724066,-0.6219301844999999
glu__glu_ale4__1,-0.2940020364563996,-0.03882750149999992
glu__glu_ale5__1,0.8251311382215465,-0.6341531724999999
glu__glu_ale6__1,0.0078527250193304,-0.10968426050000013
glu__glu_ale8__1,-1.120182457546011,0.08145078849999997
glu__glu_ale9__1,-0.0728148475752189,-0.8154909595000001
glu__glu_ale10__1,-1.3780943501201337,-1.0900873674999998
42c__wt_42c__1,0.7452458429747045,0.2359406905000001
42c__42c_ale1__1,-1.995916506850384,-1.5579887325
42c__42c_ale2__1,-0.2631685520237009,-1.5579887325
42c__42c_ale3__1,0.0268600534978866,-0.5296627905
42c__42c_ale4__1,-1.7087303092556605,-1.5579887325
42c__42c_ale5__1,1.3889595697935175,0.06814578350000011
42c__42c_ale6__1,0.6676515097477512,-1.5579887325
42c__42c_ale8__1,0.6992125408653503,0.11329226450000007
42c__42c_ale9__1,-2.3093787574521145,-1.5579887325
42c__42c_ale10__1,-1.7464897400619528,-0.9458897185
ssw__wt_ac__1,-0.9366174224688149,-1.5579887325
ssw__wt_glc__1,1.5970503750766796,1.5683933775000003
ssw__wt_glyc__1,0.4045987233635841,0.34697226550000004
ssw__wt_xyl__1,2.3413958486613966,0.4325044605000001
ssw__glc_ale1__1,-0.2937434002548071,-1.5579887325
ssw__glc_ale2__1,0.0979031380910893,-1.5579887325
ssw__glc_ale3__1,0.4043944021193926,0.46399635850000004
ssw__glyc_ale1__1,-0.2657529038061426,-0.5778509464999999
ssw__glyc_ale2__1,-0.0485509162420943,-0.12452571249999987
ssw__xyl_ale1__1,5.051266658238036,2.7823355565
ssw__xyl_ale2__1,0.7100183686590931,-1.5579887325
ssw__xyl_ale3__1,5.2101134576818176,3.1455565775
ssw__glc_ac_ac2__1,-0.6401631372147336,-0.4979139465
ssw__glc_ac_glc1__1,4.918434044338377,2.4006368234999997
ssw__glc_glyc_glc__1,1.0319308786204242,0.21132589150000025
ssw__glc_glyc_glyc__1,5.413347901956696,2.1643725105000002
ssw__glc_xyl_glc__1,-0.1835898603012043,0.5809126735000001
ssw__glc_xyl_xyl__1,-1.449810030641468,-1.5579887325
ica__wt_glc__1,1.0893164397796828,0.2879653615000002
ica__wt_glc__2,1.616669905369678,0.4607193835000001
ica__wt_glc__3,2.264842469866345,1.0113113595000005
ica__wt_glc__4,2.6308220395124438,1.1878943204999999
ica__arg_sbt__1,4.080431029842386,0.9672004625
ica__arg_sbt__2,2.7149255988278385,1.0855789185000002
ica__cytd_rib__1,1.160611267253852,0.3811220785
ica__cytd_rib__2,2.394749614496836,1.3904767075000002
ica__gth__1,5.573841830322444,1.9880774895
ica__gth__2,6.219894798396379,1.4266086805000002
ica__leu_glcr__1,5.222112714651438,2.1879792995000003
ica__leu_glcr__2,5.406276892827051,2.4695693655
ica__met_glc__1,0.6293898226012952,-0.3834610905
ica__met_glc__2,1.404543090531526,0.5044880695
ica__no3_anaero__1,1.161735175521392,1.0125268075000002
ica__no3_anaero__2,1.6810195652551447,2.0194019595
ica__phe_acgam__1,1.7758061742211146,0.2410885494999999
ica__phe_acgam__2,1.799647373526912,0.8510107315000001
ica__thm_gal__1,0.9076631977206694,0.5515961505000002
ica__thm_gal__2,1.1146704895691324,0.4314785245000001
ica__tyr_glcn__1,2.743263475403923,0.5264177575000002
ica__tyr_glcn__2,2.6493289139471847,1.4851998225
ica__ura_pyr__1,2.506781858038021,1.8742593395
ica__ura_pyr__2,2.7476761322769176,1.5118684875
ica__wt_glc__5,2.110749519394161,0.7395512474999999
ica__wt_glc__6,2.453632114302557,1.0785926465
ica__bw_delpurR_cytd__1,2.4090308627138803,0.4557545975000002
ica__bw_delpurR_cytd__2,1.7453958442053332,-0.09197670349999988
ica__ade_glc__1,2.508421407226078,1.4462173785
ica__ade_glc__2,2.593037894777768,1.7722472765
ytf__wt_glc__1,1.2487234189591203,0.7145536165000002
ytf__wt_glc__2,1.2915680150702276,1.2160775095
ytf__delyafC__1,0.478523919400824,0.6568161425000001
ytf__delyafC__2,0.744674208599645,0.8963004395000003
ytf__delyeiE__1,0.1799275195458148,1.0890102845000005
ytf__delyeiE__2,0.1979321199106939,0.8980756445000002
ytf__delyiaJ__1,0.5975410991347881,0.9965994815
ytf__delyiaJ__2,0.9456479700420608,1.7779660025
ytf__delyieP__1,0.5136778090247852,1.1990398275000005
ytf__delyieP__2,0.902169660367057,1.3640538375
ytf__wt_ph5__1,2.1160544761910645,2.0836705005
ytf__wt_ph5__2,0.8528305744475211,1.6111331525
ytf__wt_ph8__1,1.0450984838886976,0.7909192955000004
ytf__wt_ph8__2,1.6660214540070786,2.5344425965
ytf__delybaO__1,0.7000134886989704,1.8610611765
ytf__delybaO__2,0.3923522941659639,1.2847292655
ytf__delybaQ__1,0.7237106638325553,0.9707774445
ytf__delybaQ__2,1.2414008085747037,0.7153353404999999
ytf__delybiH__1,1.9177050774097275,1.4365484345
ytf__delybiH__2,1.852620148425005,1.7646898035000005
ytf__delydcI_ph5__1,1.0286676640002268,1.2572463685000004
ytf__delydcI_ph5__2,0.9622102610993832,1.5031887655000002
