,ykfJ
Cr_1,0.009095039294896927
Cr_2,0.019542501825536688
Cr_3,0.024033930112512352
Cr_4,0.02655046720548069
Cr_5,0.03408122522448002
Cr_6,0.03990856984530542
Fe_1,-0.017235794942624613
Fe_2,-0.04050447281209222
Fe_3,-0.07613106620686051
Fe_4,-0.10968182555542158
Fe_5,-0.1336661016949399
Fe_6,-0.16756091978677495
Cd_1,0.007592073958344899
Cd_2,0.021813477372685446
Cd_3,0.04039120676753912
Cd_4,0.060168410834221676
Cd_5,0.06695501499131402
Cd_6,0.07316883118033403
Zn_1,-0.02282689901857769
Zn_2,-0.0380461433775826
Zn_3,-0.035334428203630114
Zn_4,-0.039473192795703306
Zn_5,-0.04174432123878112
Zn_6,-0.051090533146390095
Cu_1,0.003249944710770065
Cu_2,0.005457491720800054
Cu_3,0.003956983450078943
Cu_4,0.006391078380913747
Cu_5,0.01035331004150765
Cu_6,0.00684439609965059
Pb_1,0.00027659655447049636
Pb_2,0.012420648017921787
Pb_3,0.02441327583121736
Pb_4,0.02860717512081712
Pb_5,0.030844727031002817
Pb_6,0.03759109890465912
