,STM2156A
SRX3136375,0.44219879360000003
SRX3136376,-0.2856705259
SRX3136377,0.10536899450000001
SRX3136378,-0.26189726220000004
SRX3136379,0.16115882680000002
SRX3136380,0.6862688399
SRX3136381,1.1644234296
SRX3136382,-0.1571538453
SRX8914620,-0.0649341101
SRX8914621,0.0758427763
SRX8914622,-0.0109086662
SRX8914623,0.33449034910000003
SRX8914625,-0.0181251622
ERX3503512,0.052441451400000005
ERX3503513,0.46306899500000004
ERX3503514,-0.5155104464
ERX3503515,0.6852860084
ERX3503516,0.9217787691
ERX3503517,0.8491863036
ERX3503518,0.9007397003000001
ERX3503519,0.6728999789
ERX3503520,0.7572303977
SRX2195704,0.10065072950000001
SRX2195705,-0.10065072950000001
SRX2195706,-0.0919982129
SRX2195707,0.1326669214
SRX2195708,0.4743641384
SRX2195709,0.5050251398
SRX2195710,0.43468020690000003
SRX2195711,0.5973109694000001
ERX3467881,0.2196628783
ERX3467883,-0.2196628783
SRX3798491,1.703537505
SRX3798492,0.46207270380000004
SRX3798499,1.0264065831
SRX3798500,0.8935575692000001
SRX3798501,1.2554961994
SRX3798502,0.9928328738000001
SRX3798503,2.187586054
SRX3798504,2.0475872297
SRX3798506,1.3030210513
SRX3798507,1.0137157514
SRX3798508,0.6173547877000001
SRX3798509,-0.4647087777
SRX3798510,0.6962030995
SRX3798517,1.1208220607000001
SRX3798518,-0.2314943218
SRX4341761,-0.048345154
SRX4341762,0.20448844330000002
SRX4341763,-0.2078467628
SRX4341764,1.0632955585
SRX4341765,0.6642497769
SRX4341766,0.4578258873
SRX4341767,0.3047051692
SRX4341768,0.4401014046
SRX4341769,-0.7448065738
SRX1258665,2.5075774984
SRX1258666,2.3226225382
SRX1258667,1.9187850634
SRX1258669,-0.6219714701
SRX1258670,0.6219714701
ERX2079594,-0.24642085500000002
ERX2079595,0.3039047855
ERX2079596,0.47005185110000003
ERX2079597,-0.3028580135
ERX2079598,0.0252083985
ERX2079599,0.277649615
SRX2804001,0.36942112730000004
SRX2804004,3.7707130205
SRX2804005,3.5430838633
SRX2804006,0.2294200713
SRX2804007,3.5886055778
SRX2804008,3.8003283918
SRX2804009,0.5098845756
SRX2804010,0.6122574849
SRX2804011,0.6000855574
SRX2804012,0.2525972532
SRX2804013,3.3445915182
SRX2804014,3.1685546743
SRX2804015,3.5601900778
SRX2804016,2.2427920552
SRX2804017,5.282028385
SRX2804019,4.6398767378
SRX2804020,1.0300219219
SRX2804021,0.7493020137
SRX2804022,1.129198974
SRX2804023,2.2913870491
SRX2804024,1.1967516588
SRX2804027,0.1452248211
SRX2804028,-0.4128770258
