,mipA
Cr_1,0.009262289514595177
Cr_2,0.014098048730100768
Cr_3,0.019493715226516342
Cr_4,0.025649878642037792
Cr_5,0.037212522456384775
Cr_6,0.05096935393172873
Fe_1,-0.016298156074464453
Fe_2,0.003215939951161244
Fe_3,0.0969162885374058
Fe_4,0.21954773000203004
Fe_5,0.3506066835882453
Fe_6,0.4835239960567414
Cd_1,0.0672826404373382
Cd_2,0.1499134407620478
Cd_3,0.22294348780864975
Cd_4,0.2929523148979147
Cd_5,0.3622904812064189
Cd_6,0.43053229915764296
Zn_1,0.04037207180175623
Zn_2,0.30574642356967663
Zn_3,0.6182636782353891
Zn_4,0.8293833486629697
Zn_5,0.936435059799268
Zn_6,0.9856337777751988
Cu_1,0.005687269154969554
Cu_2,0.014139358936998853
Cu_3,0.02069648061735041
Cu_4,0.019848493398234062
Cu_5,0.02525096524896336
Cu_6,0.026181869337260136
Pb_1,0.010980995775530184
Pb_2,0.0485583456962309
Pb_3,0.10489394694428096
Pb_4,0.17070468607021946
Pb_5,0.24559601368344386
Pb_6,0.324323211191086
