,ybeZ
Cr_1,-0.0030602129552299412
Cr_2,-0.0008761544693576805
Cr_3,-0.0023256230164973
Cr_4,-0.006335947270157686
Cr_5,-0.0046794257607684926
Cr_6,-0.004703657078401032
Fe_1,-0.014896790397746556
Fe_2,-0.042750909551696734
Fe_3,-0.0709555529665601
Fe_4,-0.09236848139385333
Fe_5,-0.11132062704768493
Fe_6,-0.12214194116811115
Cd_1,-0.01249508265610333
Cd_2,-0.015107803626134448
Cd_3,-0.014322567481928531
Cd_4,-0.0055672973770653725
Cd_5,0.0037280422435374033
Cd_6,0.024287875633589247
Zn_1,-0.006111576622137007
Zn_2,-0.018211456624259013
Zn_3,-0.020320706760365747
Zn_4,-0.013021053289231498
Zn_5,-0.004536084722808905
Zn_6,0.0020972063359587195
Cu_1,0.0012983335203187727
Cu_2,0.001562300350665157
Cu_3,0.0058044864830785895
Cu_4,0.008823352404046905
Cu_5,0.009780861143302065
Cu_6,0.012290392513553088
Pb_1,0.0060206403850622545
Pb_2,0.012928891599167965
Pb_3,0.02267380711640916
Pb_4,0.030872532540800614
Pb_5,0.03673153096597893
Pb_6,0.04443623304427825
