,allA
Cr_1,0.00010755737465960582
Cr_2,0.0053790827780802256
Cr_3,0.004816250134006205
Cr_4,0.008578816478390386
Cr_5,0.007915769138209551
Cr_6,0.011871865123853992
Fe_1,-0.060777142710718414
Fe_2,-0.10603882832361844
Fe_3,-0.13765187365876894
Fe_4,-0.18007187159507246
Fe_5,-0.20397678932394656
Fe_6,-0.17789953917870782
Cd_1,-0.001520322772314822
Cd_2,0.006577673794518023
Cd_3,0.017366184661461264
Cd_4,0.019179348245420308
Cd_5,0.02165000182536948
Cd_6,0.0307362544799131
Zn_1,0.039496808135300585
Zn_2,0.11668748367796193
Zn_3,0.10296745183226326
Zn_4,0.1384767974518569
Zn_5,0.11019794959403433
Zn_6,0.21102253482094105
Cu_1,0.034091122738978144
Cu_2,0.06660908580356811
Cu_3,0.10348883989117348
Cu_4,0.1304709743715853
Cu_5,0.17295846012634328
Cu_6,0.19717661428247424
Pb_1,0.02519513969418816
Pb_2,0.014312506699996525
Pb_3,0.02239427022368087
Pb_4,0.022782651495091937
Pb_5,-0.007139144648300184
Pb_6,0.002343629699220137
