,glyA
Cr_1,-0.006430093014304184
Cr_2,-0.010094579318601802
Cr_3,-0.01411731417962855
Cr_4,-0.017075520613679434
Cr_5,-0.01928077334115759
Cr_6,-0.021168100127212302
Fe_1,0.00500656162767279
Fe_2,0.004563596938049797
Fe_3,0.0158253571211226
Fe_4,0.029371377816407113
Fe_5,0.0412396124782193
Fe_6,0.05182940895621449
Cd_1,0.0032143184331268463
Cd_2,0.005484763566998943
Cd_3,0.0027016723945532273
Cd_4,0.002595832593901789
Cd_5,0.0038790990552243945
Cd_6,0.012844270469781129
Zn_1,-0.004763845545485701
Zn_2,0.00884774385659191
Zn_3,0.024206911310288383
Zn_4,0.04194495337206967
Zn_5,0.051375612540446106
Zn_6,0.06980752480680005
Cu_1,-0.000403924872770908
Cu_2,-0.005109495428558188
Cu_3,-0.003144039389618293
Cu_4,-0.0051844001850502655
Cu_5,-0.013570760613543412
Cu_6,-0.018183372792124543
Pb_1,0.010096350963438637
Pb_2,0.020078737337593064
Pb_3,0.026856664330215062
Pb_4,0.025947624845174662
Pb_5,0.02653961557633301
Pb_6,0.033430287763638475
