,new_3842996_3845478
M9exp_1,7.5671
M9exp_2,7.4493
M9exp_3,7.2867
M9tran_1,8.0132
M9tran_2,9.006
M9tran_3,7.5228
M9stat_1,7.8764
M9stat_2,8.0921
M9stat_3,7.6823
MG-0.1_1,7.1347
MG-0.1_2,6.5842
MG-0.1_3,7.2549
MG-0.2_2,6.8642
MG-0.2_3,7.4284
MG+5_1,7.627999999999999
MG+5_2,6.7524
MG+5_3,7.6036
MG+10_1,7.3205
MG+10_2,7.0095
MG+10_3,7.4519
MG+15_1,7.2795
MG+15_2,7.7528
MG+15_3,7.2755
MG+25_1,7.2797
MG+25_2,7.1476
MG+25_3,7.2145
MG+45_1,7.4962
MG+45_2,7.2322
MG+45_3,7.3939
MG+60_2,7.2495
MG+60_3,7.555
MG+90_2,6.8079
MG+90_3,7.198
MG+120_1,7.5456
MG+120_2,7.4002
MG+120_3,7.2144
MG+150_1,7.5512
MG+150_3,7.327000000000001
GM-0.1_1,7.426
GM-0.1_2,7.2219
GM-0.1_3,7.6673
GM-0.2_1,7.9406
GM-0.2_2,7.8537
GM-0.2_3,7.3401
GM+5_1,7.1493
GM+5_2,7.0716
GM+5_3,7.4756
GM+10_2,7.0309
GM+10_3,7.0634
GM+15_1,7.4192
GM+15_2,7.524
GM+15_3,7.292999999999998
GM+25_1,7.3177
GM+25_2,7.2792
GM+25_3,7.4308
GM+45_1,7.5026
GM+45_2,6.7373
GM+45_3,7.9498
GM+60_1,7.2383
GM+60_2,7.1499
GM+60_3,7.5867
GM+90_1,7.4439
GM+90_2,7.8383
GM+90_3,7.6794
GM+120_1,7.9398
GM+120_3,8.2057
GM+150_1,7.7481
GM+150_2,10.4572
GM+150_3,7.567
BT_1,9.7139
BT_2,9.8507
B36_1,7.5772
B36_2,7.4855
B60_1,7.7362
B60_2,8.4791
S0_1,7.7684
S0_2,7.585
S0_3,8.0068
S1_1,7.8631
S1_2,7.8045
S1_3,7.5512
S2_1,11.3731
S2_2,8.6101
S2_3,10.4104
S3_1,8.3506
S3_2,7.2970000000000015
S4_1,8.0642
S4_2,7.6642
S4_3,7.3381
S5_1,7.6626
S5_2,7.9112
S5_3,7.9121
S6_1,7.3136
S6_2,7.2634
S6_3,7.3838
S6/t_1,7.9113
S6/t_2,7.4646
S6_4,7.6812
S6_5,7.8396
S6_6,7.6307
S7_4,8.4738
S7_5,8.4788
S7_6,8.9021
S8_4,8.4783
S8_5,8.7382
G135_1,7.4421
G135_3,7.4982
G150_1,7.3427
G150_2,7.2156
G150_3,7.3835
G180_1,7.3336
G180_2,7.1491
G180_3,7.1257
T-5.40H_1,8.0143
T-4.40H_1,8.1264
T-3.40H_1,7.8913
T-2.40H_1,7.7318
T-1.40H_1,7.8068
T-1.10H_1,7.8394
T-0.40H_1,7.9212
T0.0H_1,7.7007
T0.30H_1,8.1277
T1.0H_1,7.8661
T1.30H_1,8.1354
T2.0H_1,8.3275
T2.30H_1,8.2751
T3.0H_1,8.0495
T3.30H_1,8.5893
T4.0H_1,8.1919
T5.0H_1,8.1104
LBexp_1,7.2542
LBexp_2,7.3228
LBexp_3,7.3822
LBtran_1,7.2676
LBtran_2,7.4413
LBtran_3,8.2977
LBstat_1,12.0984
LBstat_2,12.3992
LBstat_3,11.8105
LBGexp_1,7.2268
LBGexp_2,7.2397
LBGexp_3,7.2869
LBGtran_2,7.5079
LBGtran_3,7.5309
LBGstat_1,7.2017
LBGstat_2,7.2148
LBGstat_3,7.7593
Mt0_1,7.4954
Mt0_3,6.8262
M0t45_1,9.5457
M0t45_2,7.1642
M0t45_3,9.4178
M0t90_1,9.042
M0t90_2,10.9035
M0t90_3,10.1825
M40t45_1,9.0688
M40t45_2,7.3384
M40t45_3,8.9597
M40t90_1,8.9277
M40t90_2,10.4836
M40t90_3,9.667
dia0_1,7.1109
dia0_2,7.3077
dia0_3,6.9025
dia5_1,7.3584
dia5_2,7.5388
dia5_3,7.0152
dia15_1,7.4787
dia15_2,7.4584
dia15_3,7.3418
C30_1,8.8352
C30_2,8.9354
C90_1,8.241
C90_2,7.119
SMM_1,7.4554
SMM_2,7.3125
SMM_3,7.3305
Salt_1,8.4963
Salt_2,8.2947
Salt_3,8.5253
M+G_1,9.2283
M+G_2,7.9578
M+G_3,7.7756
Glu_1,7.8815
Glu_2,7.7608
Glu_3,7.6711
Fru_1,7.3683
Fru_2,8.2586
Fru_3,7.6774
Mal_1,7.2637
Mal_2,8.417
Mal_3,7.6581
G+S_2,8.3424
G+S_3,8.1605
Pyr_1,8.0772
Pyr_2,9.2563
Pyr_3,9.3821
Gly_1,7.7227
Gly_2,7.6068
Gly_3,7.9375
Glucon_1,8.5128
Glucon_2,8.154
Glucon_3,8.3113
BI_1,11.0729
BI_2,10.814
BC_2,7.1151
BC/t_1,7.6869
BC/t_2,8.6
BC_1,7.2684
Sw_1,7.0294
Sw_2,6.9915
BMM_1,7.0788
BMM_2,7.1574
BMM_3,7.5983
Heat_1,7.9606
Heat_2,7.704
Heat_3,8.1697
Cold_1,7.3287
Cold_2,7.3386
Cold_3,7.3893
Etha_1,7.7387
Etha_2,7.9065
Etha_3,7.6045
SMMPr_1,7.2948
SMMPr_2,7.6921
SMMPr_3,7.7721
HiTm_1,7.4986
HiTm_2,7.2363
HiTm_3,7.575
LoTm_1,7.9333
LoTm_2,7.655
LoTm_3,7.4806
HiOs_1,7.2843
HiOs_2,7.4985
HiOs_3,7.4156
Oxctl_1,7.8768
Oxctl_2,7.849
Oxctl_3,7.6706
Diami_1,7.5019
Diami_2,7.2001
Diami_3,7.702000000000001
Paraq_1,7.6973
Paraq_2,7.6393
Paraq_3,7.3809
H2O2_1,7.6
H2O2_2,7.7859
H2O2_3,7.9406
HPh_1,7.7104
HPh_2,7.2262
HPh_3,7.7097
LPh_1,7.5554
LPh_2,7.3855
LPh_3,7.6242
LPhT_1,7.7571
LPhT_2,7.7951
LPhT_3,8.2064
aero_1,7.6871
aero_2,7.3242
aero_3,7.2112
nit_1,12.1781
nit_2,12.3493
nit_3,11.8815
ferm_1,11.3987
ferm_2,10.9476
ferm_3,12.825
