,slyA
Cr_1,-0.0008661672487701185
Cr_2,0.003957106321640672
Cr_3,0.011953050768576277
Cr_4,0.015422021043934303
Cr_5,0.0036333756905010937
Cr_6,-0.01528148229623356
Fe_1,-0.015768332479321433
Fe_2,-0.01627655154161084
Fe_3,-0.042174724623848865
Fe_4,-0.08323044952549911
Fe_5,-0.0933246630640028
Fe_6,-0.08869657081530223
Cd_1,-0.03058103797614347
Cd_2,-0.04877436920752326
Cd_3,-0.0613569461097048
Cd_4,-0.06285415128547682
Cd_5,-0.05823790125042797
Cd_6,-0.039334811059308215
Zn_1,-0.021714775207473072
Zn_2,-0.08524017423476665
Zn_3,-0.08578038909156219
Zn_4,-0.12483760010819868
Zn_5,-0.12202059268218195
Zn_6,-0.11682488821066304
Cu_1,0.002056997272618895
Cu_2,0.0017319590748416092
Cu_3,0.01149813314724678
Cu_4,0.019735999971924947
Cu_5,0.0282459590724942
Cu_6,0.03556723594086584
Pb_1,-0.0032684849596553395
Pb_2,0.005607911339366338
Pb_3,0.01604694565504483
Pb_4,0.021843071159085497
Pb_5,0.027716668087058957
Pb_6,0.03753814368514618
