,A,narL
R2,,0.01539320818631762
xmin,,5.93640355822526
xmid,,
xmax,,8.66015285318249
ystart,,2.688232204364807
yend,,7.091405168366007
control__wt_glc__1,-0.08671778384019999,7.35771584581159
control__wt_glc__2,0.08671778384019999,7.458425646749049
fur__wt_dpd__1,-1.6629662845,8.12892895919496
fur__wt_dpd__2,-1.75049153868,8.06306378558651
fur__wt_fe__1,6.322697530119999,7.3166728457499195
fur__wt_fe__2,6.71830775772,7.35401417999042
fur__delfur_dpd__1,-1.7995452027,7.95242941920478
fur__delfur_dpd__2,-1.89580099015,7.892457120716441
fur__delfur_fe2__1,-0.210058694465,7.4150966834397805
fur__delfur_fe2__2,-0.496347089875,7.428138014569809
acid__wt_ph5__1,3.9965585216800004,8.0644011486266
acid__wt_ph5__2,4.21103977707,7.98224720683383
acid__delgadx_ph5__1,4.34576616315,7.8409687443068306
acid__delgadx_ph5__2,4.5385368812,8.052607842729861
acid__delgadw_ph5__1,4.50740247664,8.07700827642646
acid__delgadw_ph5__2,4.33804937388,8.1014078048425
acid__delgade_ph5__1,4.26231783237,7.763328168547571
acid__delgade_ph5__2,4.4267548839,7.79514707050246
oxidative__wt_pq__1,0.00172183557631,8.50385041969362
oxidative__wt_pq__2,-0.391389919969,8.6418097655651
oxidative__deloxyr_pq__1,1.4923761929700001,8.4341070852211
oxidative__deloxyr_pq__2,0.0330405602967,8.44560024408756
oxidative__delsoxr_pq__1,-1.59682691989,8.28370396984661
oxidative__delsoxr_pq__2,-1.0271950306200002,8.25507943459562
oxidative__delsoxs_pq__1,-0.944673540182,8.58142678838735
oxidative__delsoxs_pq__2,-0.448207309411,8.549383747749621
nac_ntrc__wt_csn__1,1.7434441886900003,7.2531957798172995
nac_ntrc__wt_csn__2,1.5683085439200002,7.166223042998331
nac_ntrc__wt_cytd__1,2.59874121288,7.41815211335801
nac_ntrc__wt_cytd__2,1.6000899049000001,7.47071552982831
nac_ntrc__wt_gln__1,1.93672597616,7.60671540935118
nac_ntrc__wt_gln__2,2.6568777903200003,7.822849840844
nac_ntrc__bw_delnac_csn__1,1.9563059916999999,7.603330055698639
nac_ntrc__bw_delnac_csn__2,2.51354572828,7.23574598887516
nac_ntrc__bw_delnac_cytd__1,3.13707367045,7.77721749896112
nac_ntrc__bw_delnac_cytd__2,3.0179168865900006,7.77131310749433
nac_ntrc__bw_delnac_gln__1,0.964392251963,7.97740752343212
nac_ntrc__bw_delnac_gln__2,0.280883190941,7.99518043418682
nac_ntrc__bw_delnac_nh4__1,2.567943882,7.44801576668761
nac_ntrc__bw_delnac_nh4__2,2.4007328543,7.40267261410457
misc__wt_no_te__1,-0.757136159371,8.23425701282646
misc__wt_no_te__2,-0.412400914067,8.11440222126698
misc__bw_delcbl__1,1.1830875000399999,7.42890440571054
misc__bw_delcbl__2,1.20317045575,7.45402775896242
misc__bw_delfabr__1,1.93346390436,7.282615832896769
misc__bw_delfabr__2,1.7414187246700001,7.16841723796202
misc__bw_delfadr__1,0.574447764014,7.398474774969469
misc__bw_delfadr__2,0.5484436710130001,7.464455174942629
misc__nitr_031__1,0.0717924286407,7.794052806395429
omics__wt_glu__1,2.15963999159,7.43376661068118
omics__wt_glu__2,2.8344570343799997,7.386090500969191
omics__wt_gly__1,3.8189187340400004,7.05503698220279
omics__wt_gly__2,3.6717742299800005,7.121317731894269
omics__wt_thr__1,10.5240127529,7.61350026768571
omics__wt_thr__2,10.7252847271,7.52684199882696
omics__bw_ac__1,-0.652516332404,6.84003931055004
omics__bw_ac__2,-1.32038766483,6.825901083588111
omics__bw_fum__1,1.30384489172,6.448093559025071
omics__bw_fum__2,1.02614667477,6.48880250054856
omics__bw_glc__1,0.035628506666199995,6.914886323981889
omics__bw_glc__2,0.6321819483510001,6.878909963015669
omics__bw_pyr__1,-0.11120467703199999,6.49516871781297
omics__bw_pyr__2,0.7865740848,6.551447809204809
ompr__wt_nacl__1,-0.692269763716,7.95507536055982
ompr__wt_nacl__2,-1.8098089217900002,7.93267419651676
ompr__bw_delompr_nacl__1,0.411994274948,7.478040023253451
ompr__bw_delompr_nacl__2,1.24334846371,7.53497233468991
minspan__wt_ade__1,2.01970681987,7.711703505151419
minspan__wt_glc__1,1.4182820926100002,7.43949305063233
minspan__wt_glc__2,2.0294761451700003,7.26414470937232
minspan__wt_glc__3,0.572662227385,7.23642621996971
minspan__wt_glc__4,0.467148485478,7.076046915258759
minspan__wt_glc_anaero__1,13.4184788591,7.069876638485071
minspan__wt_glc_anaero__2,14.6929215148,6.68597612573671
minspan__wt_trp__1,19.1980518296,7.65580091642743
minspan__bw_delcra_glc__1,9.857862040039999,7.477489230749621
minspan__bw_delcra_glc__2,9.534720762989998,7.62379764847686
minspan__bw_delcra_trp__1,16.819917530999998,7.84191427563123
minspan__bw_delmntr__1,14.5413579043,7.070387086285981
minspan__bw_delnac_ade__1,5.489089034959999,7.2725579098112405
minspan__bw_delnac_glc__1,2.14213502476,7.18220361992872
cra_crp__wt_ac__1,1.5413528953100002,7.0812583347956
cra_crp__wt_ac__2,1.6828268519100003,7.1259981046278895
cra_crp__wt_fru__1,0.6651422501609999,7.199261521755691
cra_crp__wt_fru__2,0.45399630053499995,7.16790493418978
cra_crp__delcra_ac__1,-1.58036664169,7.46506199229162
cra_crp__delcra_ac__2,-2.4755428401599997,7.3078996075150595
cra_crp__delcra_fru__1,-0.498870578421,7.78306082278718
cra_crp__delcra_fru__2,-0.463144328679,7.940494027126469
cra_crp__delcra_glc__1,2.67859900419,7.5959160267037795
cra_crp__delcra_glc__2,3.4814524867500003,7.689610378676409
rpoB__wt_031__1,-0.0368403744158,6.917783395033441
rpoB__wt_044__1,1.38745125375,7.371704687540211
rpoB__wt_lb__1,3.7986396989999998,8.032488461777179
rpoB__wt_lb__2,1.97896555762,7.95270223340909
rpoB__rpoBE546V_031__1,-0.400772516376,7.199308507667269
rpoB__rpoBE546V_044__1,-0.808976915195,7.10653124198807
rpoB__rpoBE546V_lb__1,3.66826024611,7.88752258033302
rpoB__rpoBE546V_lb__2,4.554000401680001,7.805126485046
rpoB__rpoBE546V_glc__1,2.46219191704,6.75660400938491
rpoB__rpoBE672K_glc__1,3.6138809009800004,6.625259283029151
rpoB__rpoBE672K_glc__2,2.67788076668,6.90782607506613
rpoB__rpoBE672K_lb__1,6.63779175242,7.691987435814919
rpoB__rpoBE672K_lb__2,6.13230050627,7.689242428389781
crp__wt_fru__1,2.31020439822,6.83742818355462
crp__wt_glyc__1,2.5519639632900004,6.863287665705769
crp__wt_glyc__2,3.94506936828,6.8311043063721595
crp__delar1_glyc__1,13.1275675198,8.31754792963952
crp__delar1_glyc__2,18.7523366896,8.501654211650111
crp__delar1ar2_glyc__1,2.1342355142,7.90503492256755
crp__delar1ar2_glyc__2,2.05633472432,7.91338888136063
crp__delar1ar2_glyc__3,2.41151898478,8.01772932743308
crp__delar2_glyc__1,30.8297345806,8.66015285318249
crp__delar2_glyc__2,30.2041338897,8.30551645935931
crp__delar2_glyc__3,30.307081865300002,8.45223475152962
crp__delcrp_fru__1,1.5701787881799998,7.963994205350981
crp__delcrp_fru__2,2.74033235191,7.91399690400807
crp__delcrp_fru__3,2.9982407734500005,7.907440059735969
crp__delcrp_glc__1,2.09940202053,7.5805463010467395
crp__delcrp_glc__2,2.1845646933099996,7.71230199883062
crp__delcrp_glc__3,1.9878614385599997,7.782717067346411
crp__delcrp_glyc__1,-1.50694177254,7.8758566002275
crp__delcrp_glyc__2,-0.592716794953,7.719090590138191
crp__delcrp_glyc__3,-1.40206366958,7.800396094385349
glu__glu_ale3__1,7.59727485756,6.821890898422231
glu__glu_ale4__1,1.53601288751,6.9565154417855
glu__glu_ale5__1,0.197943878237,6.60573185854405
glu__glu_ale6__1,2.8503370911,6.604132019410731
glu__glu_ale8__1,13.6340235254,7.5579049953828505
glu__glu_ale9__1,4.98864308119,7.03277847802805
glu__glu_ale10__1,4.60280342167,6.556786207516401
42c__wt_42c__1,4.69362552633,7.276301846323429
42c__42c_ale1__1,23.0168797421,7.44949444213071
42c__42c_ale2__1,3.63431060379,6.9513380660509805
42c__42c_ale3__1,2.68916003427,6.88412297451449
42c__42c_ale4__1,4.66410910923,7.7448155040567395
42c__42c_ale5__1,2.54543382122,7.55435345137562
42c__42c_ale6__1,19.9611470894,6.9736422490958
42c__42c_ale8__1,8.32770330827,7.096328396818071
42c__42c_ale9__1,2.14977767979,7.23857819408409
42c__42c_ale10__1,10.4450245913,7.209008729401639
ssw__wt_ac__1,-0.11272020705000001,6.5893302061739805
ssw__wt_glc__1,-0.685890249048,7.30808410747479
ssw__wt_glyc__1,11.6171977145,6.512457842261879
ssw__wt_xyl__1,-1.60378161051,6.46729515148082
ssw__glc_ale1__1,14.248337233099999,6.88024987938221
ssw__glc_ale2__1,11.4353136307,6.986409156297901
ssw__glc_ale3__1,16.1746236729,6.790483264634959
ssw__glyc_ale1__1,5.0716151169699994,7.105224097802809
ssw__glyc_ale2__1,4.81321657825,6.55284623984636
ssw__xyl_ale1__1,18.6308318661,6.66950881638312
ssw__xyl_ale2__1,11.131145843299999,7.03703755365155
ssw__xyl_ale3__1,9.26362212217,7.256434843820441
ssw__glc_ac_ac2__1,0.6195237633380001,6.68138330383442
ssw__glc_ac_glc1__1,2.3501124188299998,6.966063964225321
ssw__glc_ac_glc2__1,15.646309549300002,6.8137308184517895
ssw__glc_glyc_glc__1,12.1855195543,6.999128107057179
ssw__glc_glyc_glyc__1,7.678709411,7.00496062086655
ssw__glc_xyl_glc__1,12.5090605383,6.005364967710661
