,Value,list
TF,narL,
reg_genes,118,"['caiF' 'nuoL' 'nuoE' 'yoaG' 'dcuR' 'ccmB' 'cydC' 'hcp' 'citA' 'nuoI'
 'nuoN' 'fdnH' 'ynfH' 'hybA' 'nrfG' 'yeaR' 'moeB' 'nuoC' 'hybC' 'dmsD'
 'hyaB' 'frdA' 'ompW' 'hybO' 'hybD' 'norW' 'ydeP' 'torC' 'ynfE' 'hyaA'
 'ccmH' 'ytfE' 'ogt' 'frdC' 'focA' 'norV' 'dcuA' 'citB' 'nuoH' 'nuoB'
 'nuoK' 'hybB' 'aspA' 'nuoM' 'hybE' 'nrfE' 'torA' 'fdhF' 'fdnI' 'cydD'
 'citF' 'dcuB' 'adhE' 'hyaD' 'hybF' 'dmsA' 'ynfF' 'hyaF' 'ydhV' 'frdD'
 'ydhX' 'nikD' 'nikB' 'nikR' 'poxB' 'ydhT' 'ydhU' 'ydhW' 'pflB' 'nuoJ'
 'nikE' 'hybG' 'ubiA' 'cysG' 'hyaE' 'torD' 'moeA' 'dcuS' 'fumB' 'nuoF'
 'nuoG' 'nikC' 'hyaC' 'ydhY' 'fdnG' 'nuoA' 'ubiC' 'citC' 'frdB' 'hcr'
 'ynfG']"
comp_genes,29,['yehD' 'ykgO']
both_genes,27,"['narI' 'nrfB' 'dmsC' 'nikA' 'dmsB' 'narG' 'napB' 'nirD' 'narH' 'ccmC'
 'ccmF' 'napA' 'napG' 'nrfA' 'narJ' 'napF' 'narK' 'napC' 'nrfC' 'nrfD'
 'ccmE' 'dsbE' 'napD' 'nirC' 'napH' 'ccmA' 'nirB']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,34,
comp_ops,9,
both_ops,7,
