,rihA
Cr_1,0.00418387326835638
Cr_2,0.010866124881830265
Cr_3,0.01896006453642057
Cr_4,0.022777906479575973
Cr_5,0.022510072209206717
Cr_6,0.020336560951059453
Fe_1,-0.00898960574291512
Fe_2,-0.021345669141762412
Fe_3,-0.02457730411663196
Fe_4,-0.03135417350612668
Fe_5,-0.03636649480466128
Fe_6,-0.03527997122483326
Cd_1,0.0011137251364939068
Cd_2,0.004090514187102518
Cd_3,0.010030924816529169
Cd_4,0.013643741486113845
Cd_5,0.01157627025232728
Cd_6,0.015629415638911782
Zn_1,0.007939252609398463
Zn_2,0.01358896528790473
Zn_3,0.02459190186809471
Zn_4,0.03588989201417014
Zn_5,0.046085614580679016
Zn_6,0.0551009094255522
Cu_1,0.011063595836301158
Cu_2,0.0222020982460238
Cu_3,0.035353559054714184
Cu_4,0.04384798329281495
Cu_5,0.05536004838251828
Cu_6,0.06772086823547321
Pb_1,0.002903967910926382
Pb_2,0.012387754847316064
Pb_3,0.02482839243746361
Pb_4,0.0397806897462202
Pb_5,0.05380516077166427
Pb_6,0.07327489809363391
