,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A
0,ALE__GalactoseA5,4.375338798967681,0.05019180959398355,2.0,0.0,4.41082976789161,1.0,4.339847830043751,,,,
1,ALE__GalactoseA6,5.675179300453198,0.016493401747607023,2.0,2.0,5.686841896673765,3.0,5.663516704232631,,,,
2,ALE__GalactoseA8,5.141910928317985,0.8074182788276336,2.0,4.0,5.712841868530975,5.0,4.570979988104995,,,,
3,ALE__IL_Control,2.0315655060998417e-10,0.6404387047837785,4.0,6.0,0.772407621947967,7.0,0.1055153032815022,8.0,-0.783463900136776,9.0,-0.0944590242800669
4,ALE__IL_TEOH_OAc,3.014840797600354,2.062350366168708,2.0,10.0,4.473142726700807,11.0,1.5565388684999015,,,,
5,ALE__IL_TEA_HS,24.183857439490332,1.2884655129536264,2.0,12.0,25.094940141024846,13.0,23.27277473795582,,,,
6,ALE__IL_Mixed,10.469418233703085,0.46794302408063876,2.0,14.0,10.138532548166724,15.0,10.800303919239443,,,,
7,ALE__IL_PP5350,1.7398526256466118,0.18625730247701702,2.0,16.0,1.8715564272736245,17.0,1.6081488240195991,,,,
8,ALE__IL_T8,1.5710476091742227,0.33159412214149875,2.0,18.0,1.8055200615420768,19.0,1.3365751568063686,,,,
9,ALE__IL_T9,6.414696063525484,0.8184614807054263,2.0,20.0,6.993435726672273,21.0,5.835956400378694,,,,
10,ALE__IL_Control2,1.0650724547786323,0.4386631959005877,2.0,22.0,1.3752541752569007,23.0,0.7548907343003637,,,,
11,ALE__IL_Glc+Ace,0.3760012538712408,1.0374136132074325,2.0,24.0,1.1095634546654545,25.0,-0.3575609469229729,,,,
12,ALE__XyloseA1,1.957313673373274,1.0159917671155907,2.0,26.0,1.2388990052161364,27.0,2.675728341530412,,,,
13,ALE__XyloseA2,2.996261098612197,0.5302484676405803,2.0,28.0,2.621318811429767,29.0,3.371203385794627,,,,
14,ALE__XyloseA3,4.393617593314618,0.05157057936351338,2.0,30.0,4.357151686936958,31.0,4.430083499692277,,,,
15,ALE__XyloseA4,2.4165730860168537,0.07967776805165094,2.0,32.0,2.472913776115985,33.0,2.3602323959177225,,,,
16,Aromatic__Coumarate,-0.5005941075434165,0.2939980578479511,3.0,34.0,-0.7071520611828909,35.0,-0.6306286898229562,36.0,-0.1640015716244025,,
17,Aromatic__Coumarate+ferulate,-0.5513484262901452,0.2524055665183715,3.0,37.0,-0.8410941896253824,38.0,-0.4337540064820341,39.0,-0.3791970827630191,,
18,Aromatic__Ferulate,-0.4990607033512366,0.3054514665757102,3.0,40.0,-0.4248087612318908,41.0,-0.8347927447642784,42.0,-0.2375806040575403,,
19,Aromatic__Glucose,7.99815029021526e-11,0.7330354128060586,3.0,43.0,0.3651329446398865,44.0,-0.8438904215814438,45.0,0.4787574771815018,,
20,Bioreactor1__24h,-4.222953930987927e-11,0.31497164969103425,2.0,46.0,0.2227185893358145,47.0,-0.2227185894202736,,,,
21,Bioreactor2__S_0min,-6.260153622335747e-11,0.7608473671290816,3.0,48.0,-0.7538776343353013,60.0,0.7676306399659143,72.0,-0.0137530058184176,,
22,Bioreactor2__S_15min,0.29425792469867434,0.12083138695315793,3.0,49.0,0.2995724020381836,61.0,0.4123443869866909,73.0,0.1708569850711486,,
23,Bioreactor2__P1_15min,-0.311480983206865,0.346874086634491,3.0,50.0,-0.4107159952500387,62.0,0.0741959539680608,74.0,-0.597922908338617,,
24,Bioreactor2__P3_15min,0.6318177249549849,0.6223152306453571,3.0,51.0,0.0202137368548646,63.0,1.264317848167434,75.0,0.6109215898426562,,
25,Bioreactor2__P5_15min,0.29591590216352986,0.19874063695383226,3.0,52.0,0.0705047364057132,64.0,0.3713361589664666,76.0,0.4459068111184098,,
26,Bioreactor2__S_1h,-0.7271252361907052,0.5525300657248559,3.0,53.0,-1.3467546056139548,65.0,-0.5489694172687539,77.0,-0.2856516856894072,,
27,Bioreactor2__S_3h,-0.5586383530798248,0.2851411773698052,3.0,54.0,-0.3194737422603119,66.0,-0.8741944009412217,78.0,-0.4822469160379408,,
28,Bioreactor2__S_9h,-0.10451924859112656,0.5888816738187259,3.0,55.0,-0.6310687536573364,67.0,0.531369029992015,79.0,-0.2138580221080583,,
29,Bioreactor2__S_25h,-0.17239496457575307,0.1864792700280344,3.0,56.0,-0.2536803817688788,68.0,0.0409296158660999,80.0,-0.3044341278244803,,
30,Bioreactor2__P1_25h,0.24935382306600187,0.21054439807887462,3.0,57.0,0.1484726231095001,69.0,0.1082319497257611,81.0,0.4913568963627445,,
31,Bioreactor2__P3_25h,0.3218181130057313,0.42486429803406406,3.0,58.0,0.7882845769786972,70.0,-0.0430071029136502,82.0,0.2201768649521469,,
32,Bioreactor2__P5_25h,0.09921949624619848,0.33966449198321536,3.0,59.0,0.3334984653506865,71.0,0.2544896124622085,83.0,-0.2903295890742995,,
