,htpX
Cr_1,-0.002520752496186961
Cr_2,0.004655491567260796
Cr_3,0.014921518400476659
Cr_4,0.025488435078614213
Cr_5,0.029712674553031764
Cr_6,0.027903144934018347
Fe_1,-0.0077240404980697345
Fe_2,-0.0333100252306608
Fe_3,-0.06242327240108054
Fe_4,-0.10018133962316136
Fe_5,-0.1332336181346496
Fe_6,-0.15307313080183954
Cd_1,-0.0010024515494838307
Cd_2,0.0015343530585946745
Cd_3,0.006373618150179718
Cd_4,0.013488716611680373
Cd_5,0.013701668204335368
Cd_6,0.02567725364698836
Zn_1,0.0032992045951305226
Zn_2,-0.0002064973479010637
Zn_3,0.0022718365891103267
Zn_4,0.01780041691974185
Zn_5,0.034474444523094436
Zn_6,0.05536225414665888
Cu_1,0.0076227335882873325
Cu_2,0.019525596505765002
Cu_3,0.03190894098607052
Cu_4,0.04160605709981514
Cu_5,0.05072366100630779
Cu_6,0.06405110840300245
Pb_1,-0.009484737345956154
Pb_2,-0.015757766352923086
Pb_3,-0.020316315299699943
Pb_4,-0.025322352102574323
Pb_5,-0.031381741754738075
Pb_6,-0.03590736959514745
