,yrbF
Cr_1,0.004775978777017155
Cr_2,0.005574503826571159
Cr_3,0.012508106695614541
Cr_4,0.01560162215216509
Cr_5,0.011523943548914726
Cr_6,0.0078002815141677015
Fe_1,-0.007909960890971492
Fe_2,-0.021968455559694483
Fe_3,-0.03476523269840225
Fe_4,-0.06019715741893635
Fe_5,-0.07748312176337263
Fe_6,-0.08433167573934341
Cd_1,0.0018788408552724864
Cd_2,0.004740158586345348
Cd_3,0.005187335876984208
Cd_4,0.0070467434756249815
Cd_5,-3.2410511783376637e-06
Cd_6,0.0024861494311988856
Zn_1,-0.041729986458506986
Zn_2,-0.04804686663910217
Zn_3,-0.030306167505333506
Zn_4,0.015297875679399154
Zn_5,0.07860710519534317
Zn_6,0.15603259948904666
Cu_1,0.0048601013616551714
Cu_2,0.008800815291237853
Cu_3,0.011542330158273464
Cu_4,0.014908203580823618
Cu_5,0.021831997971594564
Cu_6,0.02550881760659884
Pb_1,0.009495918486218087
Pb_2,0.012777545270153384
Pb_3,0.022775872198696784
Pb_4,0.030401467632272524
Pb_5,0.029967619661399592
Pb_6,0.026194396458470742
