,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X
0,LB__LBexp,12.715200000000001,0.3009427852599226,3.0,0.0,12.8212,1.0,12.9488,2.0,12.3756,,,,,,,,,,
1,LB__LBtran,11.489933333333333,0.2779730982187542,3.0,3.0,11.6821,4.0,11.6165,5.0,11.1712,,,,,,,,,,
2,LB__LBstat,10.125933333333334,0.7283665308986501,3.0,6.0,10.9539,7.0,9.8399,8.0,9.584,,,,,,,,,,
3,LB__LBGexp,12.729466666666667,0.3295297305757607,3.0,9.0,12.3538,10.0,12.8649,11.0,12.9697,,,,,,,,,,
4,LB__LBGtran,13.050699999999999,0.8748325096839963,2.0,12.0,12.4321,13.0,13.6693,,,,,,,,,,,,
5,LB__LBGstat,10.481499999999999,1.0493124939692648,3.0,14.0,9.9406,15.0,9.813,16.0,11.6909,,,,,,,,,,
6,Life Cycle__S0,11.048433333333334,0.33073155781287866,3.0,17.0,10.6974,18.0,11.3542,19.0,11.0937,,,,,,,,,,
7,Life Cycle__S1,11.525066666666666,0.2599050852394648,3.0,20.0,11.5336,21.0,11.261,22.0,11.7806,,,,,,,,,,
8,Life Cycle__S2,10.972500000000002,0.3013350958650514,3.0,23.0,11.1375,24.0,11.1553,25.0,10.6247,,,,,,,,,,
9,Life Cycle__S3,10.6563,0.29472210639855195,2.0,26.0,10.4479,27.0,10.8647,,,,,,,,,,,,
10,Life Cycle__S4,11.002633333333334,0.5300150217996966,3.0,28.0,11.6131,29.0,10.735,30.0,10.6598,,,,,,,,,,
11,Life Cycle__S5,10.640833333333333,0.305282972557156,3.0,31.0,10.3651,32.0,10.5885,33.0,10.9689,,,,,,,,,,
12,Life Cycle__S6,9.0009625,0.8963226729850934,8.0,34.0,8.7319,35.0,7.6001,36.0,9.4469,37.0,9.5561,38.0,7.6905,39.0,9.4629,40.0,9.7592,41.0,9.7601
13,Life Cycle__S7,10.965933333333334,0.047524134219713486,3.0,42.0,10.9526,43.0,10.9265,44.0,11.0187,,,,,,,,,,
14,Life Cycle__S8,10.80635,0.026799347006970498,2.0,45.0,10.7874,46.0,10.8253,,,,,,,,,,,,
15,Life Cycle__G135,10.29465,1.1547760843557513,2.0,47.0,11.1112,48.0,9.4781,,,,,,,,,,,,
16,Life Cycle__G150,11.682733333333333,0.255944570822148,3.0,49.0,11.3882,50.0,11.8511,51.0,11.8089,,,,,,,,,,
17,Life Cycle__G180,11.764633333333334,0.3659750583486992,3.0,52.0,11.8694,53.0,12.0668,54.0,11.3577,,,,,,,,,,
18,Stress Time Course__C30,10.9143,0.13477455249415587,2.0,55.0,10.819,56.0,11.0096,,,,,,,,,,,,
19,Stress Time Course__C90,12.04025,0.13696658351583407,2.0,57.0,11.9434,58.0,12.1371,,,,,,,,,,,,
20,Biofilm__BI,10.370249999999999,0.2097985819780483,2.0,59.0,10.5186,60.0,10.2219,,,,,,,,,,,,
21,Biofilm__BC,9.368725,1.4227880033581954,4.0,61.0,9.1644,62.0,9.3865,63.0,11.196,64.0,7.728,,,,,,,,
22,Biofilm__Sw,7.12095,0.13526952724098656,2.0,65.0,7.2166,66.0,7.0253,,,,,,,,,,,,
23,Life Cycle__BT,8.6292,0.22754696218583198,2.0,67.0,8.7901,68.0,8.4683,,,,,,,,,,,,
24,Life Cycle__B36,7.3067,0.16546298679765212,2.0,69.0,7.1897,70.0,7.4237,,,,,,,,,,,,
25,Life Cycle__B60,9.229,0.904106730425119,2.0,71.0,8.5897,72.0,9.8683,,,,,,,,,,,,
26,M9__M9exp,11.924366666666666,0.2638083079308408,3.0,73.0,12.2285,74.0,11.7872,75.0,11.7574,,,,,,,,,,
27,M9__M9tran,11.894833333333333,0.1618775257203222,3.0,76.0,11.7465,77.0,11.8705,78.0,12.0675,,,,,,,,,,
28,M9__M9stat,9.852400000000001,0.24187023380316955,3.0,79.0,10.1189,80.0,9.7915,81.0,9.6468,,,,,,,,,,
29,Supplement__M+G,11.533933333333332,0.1099107061815791,3.0,82.0,11.6608,83.0,11.4735,84.0,11.4675,,,,,,,,,,
30,Supplement__Glu,11.780866666666666,0.4165035574077768,3.0,85.0,12.1576,86.0,11.3336,87.0,11.8514,,,,,,,,,,
31,Supplement__Fru,11.500333333333332,0.27109699986044367,3.0,88.0,11.7545,89.0,11.215,90.0,11.5315,,,,,,,,,,
32,Supplement__Mal,10.794866666666666,0.694277554968713,3.0,91.0,10.0109,92.0,11.0417,93.0,11.332,,,,,,,,,,
33,Supplement__G+S,11.18285,0.275135248559685,2.0,94.0,10.9883,95.0,11.3774,,,,,,,,,,,,
34,Supplement__Pyr,10.813899999999999,0.025275086547823917,3.0,96.0,10.8126,97.0,10.8398,98.0,10.7893,,,,,,,,,,
35,Supplement__Gly,9.703100000000001,0.5139963521271333,3.0,99.0,10.0031,100.0,9.9966,101.0,9.1096,,,,,,,,,,
36,Supplement__Glucon,10.674866666666667,0.593640171596678,3.0,102.0,11.0144,103.0,11.0208,104.0,9.9894,,,,,,,,,,
37,Stressors__aero,11.508666666666665,0.5838998915339283,3.0,105.0,11.970999999999998,106.0,10.8525,107.0,11.7025,,,,,,,,,,
38,Stressors__nit,11.868900000000002,0.1350766819254902,3.0,108.0,11.77,109.0,12.0228,110.0,11.8139,,,,,,,,,,
39,Stressors__ferm,11.641066666666667,0.40250106004001185,3.0,111.0,12.0441,112.0,11.2391,113.0,11.64,,,,,,,,,,
40,Glc Growth/Exhaust__T-5.40H,12.0786,,1.0,114.0,12.0786,,,,,,,,,,,,,,
41,Glc Growth/Exhaust__T-4.40H,11.7918,,1.0,115.0,11.7918,,,,,,,,,,,,,,
42,Glc Growth/Exhaust__T-3.40H,11.6965,,1.0,116.0,11.6965,,,,,,,,,,,,,,
43,Glc Growth/Exhaust__T-2.40H,11.6644,,1.0,117.0,11.6644,,,,,,,,,,,,,,
44,Glc Growth/Exhaust__T-1.40H,11.6044,,1.0,118.0,11.6044,,,,,,,,,,,,,,
45,Glc Growth/Exhaust__T-1.10H,11.5995,,1.0,119.0,11.5995,,,,,,,,,,,,,,
46,Glc Growth/Exhaust__T-0.40H,11.4348,,1.0,120.0,11.4348,,,,,,,,,,,,,,
47,Glc Growth/Exhaust__T0.0H,11.0291,,1.0,121.0,11.0291,,,,,,,,,,,,,,
48,Glc Growth/Exhaust__T0.30H,10.9347,,1.0,122.0,10.9347,,,,,,,,,,,,,,
49,Glc Growth/Exhaust__T1.0H,11.2525,,1.0,123.0,11.2525,,,,,,,,,,,,,,
50,Glc Growth/Exhaust__T1.30H,10.6655,,1.0,124.0,10.6655,,,,,,,,,,,,,,
51,Glc Growth/Exhaust__T2.0H,10.3578,,1.0,125.0,10.3578,,,,,,,,,,,,,,
52,Glc Growth/Exhaust__T2.30H,11.1133,,1.0,126.0,11.1133,,,,,,,,,,,,,,
53,Glc Growth/Exhaust__T3.0H,10.5088,,1.0,127.0,10.5088,,,,,,,,,,,,,,
54,Glc Growth/Exhaust__T3.30H,10.7701,,1.0,128.0,10.7701,,,,,,,,,,,,,,
55,Glc Growth/Exhaust__T4.0H,10.5087,,1.0,129.0,10.5087,,,,,,,,,,,,,,
56,Glc Growth/Exhaust__T5.0H,10.0974,,1.0,130.0,10.0974,,,,,,,,,,,,,,
57,Stressors__HPh,12.313066666666666,0.2011751807090867,3.0,131.0,12.5446,132.0,12.181,133.0,12.2136,,,,,,,,,,
58,Stressors__LPh,12.447666666666668,0.31465750163206546,3.0,134.0,12.4251,135.0,12.773,136.0,12.1449,,,,,,,,,,
59,Stressors__LPhT,10.997566666666666,0.2093071984747142,3.0,137.0,11.2368,138.0,10.8482,139.0,10.9077,,,,,,,,,,
60,Stressors__SMMPr,11.474733333333333,0.08750761871593465,3.0,140.0,11.4734,141.0,11.5629,142.0,11.3879,,,,,,,,,,
61,Stressors__HiTm,10.744666666666667,0.9125821953847965,3.0,143.0,9.7176,144.0,11.0541,145.0,11.4623,,,,,,,,,,
62,Stressors__LoTm,10.966299999999999,0.10766489678627814,3.0,146.0,11.0902,147.0,10.8955,148.0,10.9132,,,,,,,,,,
63,Stressors__HiOs,11.346400000000001,0.22860507430938665,3.0,149.0,11.515,150.0,11.0862,151.0,11.438,,,,,,,,,,
64,Stressors__BMM,12.066266666666666,0.12106702000682643,3.0,152.0,12.0579,153.0,11.9496,154.0,12.1913,,,,,,,,,,
65,Stressors__Heat,12.036499999999998,0.28182171669337397,3.0,155.0,12.3619,156.0,11.8769,157.0,11.8707,,,,,,,,,,
66,Stressors__Cold,9.577733333333333,0.2916130541202385,3.0,158.0,9.8804,159.0,9.5542,160.0,9.2986,,,,,,,,,,
67,Stressors__Etha,10.317166666666667,0.16255836900428497,3.0,161.0,10.1477,162.0,10.332,163.0,10.4718,,,,,,,,,,
68,Stress Time Course__SMM,11.454966666666666,0.1236931822427306,3.0,164.0,11.3125,165.0,11.535,166.0,11.5174,,,,,,,,,,
69,Stress Time Course__Salt,10.090166666666667,0.1638170422554787,3.0,167.0,10.2782,168.0,9.9783,169.0,10.014,,,,,,,,,,
70,Stress Time Course__Mt0,12.564150000000001,0.09963134546918472,2.0,170.0,12.6346,171.0,12.4937,,,,,,,,,,,,
71,Stress Time Course__M0t45,12.422633333333332,0.1923396041727579,3.0,172.0,12.2086,173.0,12.4783,174.0,12.581,,,,,,,,,,
72,Stress Time Course__M0t90,11.3912,0.40648273026046206,3.0,175.0,10.9532,176.0,11.7563,177.0,11.4641,,,,,,,,,,
73,Stress Time Course__M40t45,11.930766666666665,0.6999471218123077,3.0,178.0,11.5873,179.0,11.4689,180.0,12.7361,,,,,,,,,,
74,Stress Time Course__M40t90,11.509566666666666,0.6568031389490564,3.0,181.0,10.7663,182.0,11.7506,183.0,12.0118,,,,,,,,,,
75,Stress Time Course__dia0,12.9888,0.2639951325308859,3.0,184.0,12.6939,185.0,13.0694,186.0,13.2031,,,,,,,,,,
76,Stress Time Course__dia5,12.2819,0.4539832485896371,3.0,187.0,11.9261,188.0,12.1264,189.0,12.7932,,,,,,,,,,
77,Stress Time Course__dia15,12.395666666666665,0.23105067265284798,3.0,190.0,12.1474,191.0,12.4352,192.0,12.6044,,,,,,,,,,
78,Stressors__Diami,11.173533333333333,0.5030413733812892,3.0,193.0,10.5977,194.0,11.5275,195.0,11.3954,,,,,,,,,,
79,Stressors__Paraq,11.959266666666666,0.8649733194343823,3.0,196.0,12.0817,197.0,12.7565,198.0,11.0396,,,,,,,,,,
80,Stressors__H2O2,11.955366666666668,0.21350120218240753,3.0,199.0,11.9298,200.0,12.1805,201.0,11.7558,,,,,,,,,,
81,Stressors__Oxctl,12.262033333333333,0.4208670138337449,3.0,202.0,11.9148,203.0,12.1412,204.0,12.7301,,,,,,,,,,
82,Carbon Transition__GM-0.1,11.580599999999999,0.2527398069161245,3.0,205.0,11.2962,215.0,11.6661,225.0,11.7795,,,,,,,,,,
83,Carbon Transition__GM-0.2,11.654633333333335,0.3766584173137957,3.0,206.0,11.3492,216.0,12.0755,226.0,11.5392,,,,,,,,,,
84,Carbon Transition__GM+5,11.513600000000002,0.20844474087872797,3.0,207.0,11.3255,217.0,11.4776,227.0,11.7377,,,,,,,,,,
85,Carbon Transition__GM+15,11.801733333333333,0.044179897389347994,3.0,208.0,11.7513,219.0,11.8203,229.0,11.8336,,,,,,,,,,
86,Carbon Transition__GM+25,11.951833333333333,0.3596211386074701,3.0,209.0,12.1558,220.0,12.1631,230.0,11.5366,,,,,,,,,,
87,Carbon Transition__GM+45,11.554766666666668,0.5338382183146252,3.0,210.0,12.1706,221.0,11.2702,231.0,11.2235,,,,,,,,,,
88,Carbon Transition__GM+60,11.583833333333333,0.5218337889916032,3.0,211.0,12.1846,222.0,11.3237,232.0,11.2432,,,,,,,,,,
89,Carbon Transition__GM+90,12.0197,0.14068756163925797,3.0,212.0,12.1484,223.0,12.0412,233.0,11.8695,,,,,,,,,,
90,Carbon Transition__GM+120,11.25635,0.6231732062597041,2.0,213.0,10.8157,234.0,11.697,,,,,,,,,,,,
91,Carbon Transition__GM+150,11.817266666666667,0.26271056951202676,3.0,214.0,11.8481,224.0,11.5405,235.0,12.0632,,,,,,,,,,
92,Carbon Transition__GM+10,11.1029,0.5276430801214029,2.0,218.0,11.476,228.0,10.7298,,,,,,,,,,,,
93,Carbon Transition__MG-0.1,11.762533333333332,0.6542213718102872,3.0,236.0,11.6586,244.0,11.1665,254.0,12.4625,,,,,,,,,,
94,Carbon Transition__MG+5,11.616866666666667,0.1502237109558056,3.0,237.0,11.5831,246.0,11.4864,256.0,11.7811,,,,,,,,,,
95,Carbon Transition__MG+10,11.675366666666667,0.6125029333263095,3.0,238.0,12.2022,247.0,11.8206,257.0,11.0033,,,,,,,,,,
96,Carbon Transition__MG+15,12.03416666666667,0.5148009939125346,3.0,239.0,11.5236,248.0,12.5531,258.0,12.0258,,,,,,,,,,
97,Carbon Transition__MG+25,11.714599999999999,0.22218845604576307,3.0,240.0,11.7355,249.0,11.4827,259.0,11.9256,,,,,,,,,,
98,Carbon Transition__MG+45,11.535199999999998,0.5783374533955072,3.0,241.0,11.5276,250.0,10.9607,260.0,12.1173,,,,,,,,,,
99,Carbon Transition__MG+120,11.568533333333333,0.3905354059919963,3.0,242.0,11.1176,253.0,11.7975,263.0,11.7905,,,,,,,,,,
100,Carbon Transition__MG+150,11.94805,0.055225039610668776,2.0,243.0,11.909,264.0,11.9871,,,,,,,,,,,,
101,Carbon Transition__MG-0.2,11.841149999999999,0.323077088324133,2.0,245.0,11.6127,255.0,12.0696,,,,,,,,,,,,
102,Carbon Transition__MG+60,11.666599999999999,0.06335676759431395,2.0,251.0,11.7114,261.0,11.6218,,,,,,,,,,,,
103,Carbon Transition__MG+90,11.684899999999999,0.5620084696870683,2.0,252.0,11.2875,262.0,12.0823,,,,,,,,,,,,
