,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A
0,Chrom__sac_log,-1.7053028881847458,0.0794545729994043,2.0,0.0,-1.761485755548906,1.0,-1.6491200208205854,,
1,Chrom__sac_sta,-14.292728792211035,0.05682592098534736,2.0,2.0,-14.252546798135125,3.0,-14.332910786286945,,
2,Chrom__sac_MW001,7.993605777301127e-15,2.036872343455215,2.0,4.0,-1.440286246468509,5.0,1.4402862464685249,,
3,Chrom__sac_fadR,-2.577262492683707,0.5198170395591173,2.0,6.0,-2.209696339035139,7.0,-2.9448286463322746,,
4,FadR__wt_p,2.220446049250313e-16,2.111232106932249,2.0,8.0,-1.4928665394705554,9.0,1.4928665394705558,,
5,FadR__ko_p,0.16196354324112122,1.2520816848560414,2.0,10.0,-0.7233919067200635,11.0,1.047318993202306,,
6,GDGT__75_2.4_log,-4.736951571734001e-15,3.5631716642597255,3.0,12.0,1.8352024331831327,27.0,-4.106678878065568,50.0,2.2714764448824214
7,GDGT__80_3.5_stat,-0.07005734588359631,1.3334986500763755,3.0,13.0,-1.055728707405123,20.0,-0.6017008621115962,42.0,1.4472575318659302
8,GDGT__80_2.4_log,-1.4815102539700913,4.270873187351042,3.0,14.0,-1.6590938867433538,37.0,2.875384867452905,41.0,-5.6608217426198255
9,GDGT__75_3.5_stat,2.1416729792638667,1.9204158488543084,3.0,15.0,3.9964865559487146,24.0,0.16177059504467814,28.0,2.2667617867982073
10,GDGT__80_1.6_stat,-7.7893774694080555,0.9055300488479653,3.0,16.0,-7.418794394117421,17.0,-8.821419151781852,33.0,-7.1279188623248935
11,GDGT__75_2.4_stat,-0.1772596640684493,1.4946408593426812,3.0,18.0,-0.3836441552862736,26.0,1.4098481383546633,31.0,-1.5579829752737375
12,GDGT__80_2.4_stat,2.255876634360549,1.3731938041216507,3.0,19.0,2.2111293824514924,29.0,3.6508971509111374,30.0,0.9056033697190182
13,GDGT__80_1.6_log,-0.9618949779330443,3.3244356245000053,2.0,21.0,1.3888359957690444,39.0,-3.312625951635133,,
14,GDGT__65_3.5_stat,2.702052726458396,2.1750843694068247,3.0,22.0,2.8444390059550506,23.0,4.802445786840335,34.0,0.4592733865798018
15,GDGT__75_1.6_stat,-4.86139066713016,2.9269302998166875,3.0,25.0,-8.23414004535881,32.0,-3.3630112006378283,38.0,-2.9870207553938406
16,GDGT__75_1.6_log,0.9650312462241434,0.7248696846290841,2.0,35.0,1.4775915157019228,36.0,0.4524709767463639,,
17,GDGT__65_2.4_stat,-5.544103350820166,1.4996544820007343,3.0,40.0,-7.186310074788497,46.0,-5.198742957464849,49.0,-4.24725702020715
18,GDGT__65_2.4_log,6.839837948228261,1.504278996963577,3.0,43.0,8.403843287482992,44.0,5.403411276295994,47.0,6.712259280905798
19,GDGT__80_3.5_log,0.3856517132283555,0.8059389913130757,3.0,45.0,-0.5234495929152214,51.0,1.0125066584543725,52.0,0.6678980741459154
20,GDGT__65_1.6_log,2.453293514146177,0.9303489691433992,3.0,48.0,1.4456140538079891,53.0,3.2796015114293997,54.0,2.6346649772011426
21,NutLim__t0,-1.7208456881689926e-15,0.8930253550337172,2.0,55.0,0.6314642843158639,56.0,-0.6314642843158673,,
22,NutLim__t05,-2.131092313221201,1.429497597197699,3.0,57.0,-3.1238148096702782,58.0,-0.4926540473761657,59.0,-2.7768080826171597
23,NutLim__t1,-6.64940429429598,3.2238124481555865,3.0,60.0,-9.167341154758047,61.0,-3.0159965247834104,62.0,-7.764875203346484
24,NutLim__t15,-10.060718661331146,2.352325154749756,3.0,63.0,-11.721448083560453,64.0,-7.368925205065367,65.0,-11.091782695367622
25,NutLim__t2,-10.550718480972135,1.5889265116110631,3.0,66.0,-11.247349960971947,67.0,-8.732465363018509,68.0,-11.672340118925947
26,NutLim__t4,-11.99479126335317,0.7837819961824856,2.0,69.0,-11.440573698880605,70.0,-12.549008827825734,,
27,UV_irr__wt0,2.4054832200211723e-16,0.19170446517127485,3.0,71.0,0.06657262390321664,72.0,0.14954329800417904,73.0,-0.21611592190739495
28,UV_irr__wt1,-11.505218646438065,1.1925166483552414,3.0,74.0,-10.731815900053524,75.0,-12.878571984873426,76.0,-10.905268054387241
29,UV_irr__wt2,-12.28963463529378,1.156868677735071,3.0,77.0,-11.827361925374367,78.0,-13.606161746512408,79.0,-11.435380233994564
30,UV_irr__mut0,-6.558293599324365,0.5697981508162033,3.0,80.0,-6.494904468156438,81.0,-7.157135673243591,82.0,-6.0228406565730666
31,UV_irr__mut1,-14.951904212982052,0.1948527378224833,3.0,83.0,-15.176720404987767,84.0,-14.847296712850955,85.0,-14.831695521107434
32,UV_irr__mut2,-14.951262096620207,0.3000623098091595,3.0,86.0,-14.727031423638827,87.0,-14.834624632606195,88.0,-15.292130233615605
33,YtrA__overexpr,-1.4587749124969849,0.30154593529582346,3.0,89.0,-1.1904632552575083,90.0,-1.4007417923306726,91.0,-1.7851196899027737
34,YtrA__wt,-2.146431180941969e-15,2.1162380362654085,3.0,92.0,-0.8345004825001786,93.0,2.406262592812213,94.0,-1.5717621103120407
