,alaS
Cr_1,-0.006858025722128216
Cr_2,-0.002232222557582732
Cr_3,0.018785585552385957
Cr_4,0.034665632418582615
Cr_5,0.03968906137048042
Cr_6,0.04537386729463504
Fe_1,-0.025828825542178836
Fe_2,-0.051415080800772235
Fe_3,-0.07380578929665903
Fe_4,-0.09275904053610314
Fe_5,-0.12449710199144898
Fe_6,-0.13822325958833595
Cd_1,0.0064333489697505145
Cd_2,0.008609794213287211
Cd_3,0.018388731543111082
Cd_4,0.03457733950184202
Cd_5,0.03616630360621896
Cd_6,0.04388008099396471
Zn_1,-0.022269734968713702
Zn_2,-0.012524734745062528
Zn_3,-0.012894862430657242
Zn_4,-0.012444570063215251
Zn_5,0.0487241329836988
Zn_6,0.14005908958319238
Cu_1,0.007516942237637783
Cu_2,0.018541634757662438
Cu_3,0.022947668657138855
Cu_4,0.01903834100290348
Cu_5,0.01841692440874625
Cu_6,0.02795842047616376
Pb_1,-0.0013982607020995995
Pb_2,0.0052151813050582705
Pb_3,0.014536824457843952
Pb_4,0.028580606696559662
Pb_5,0.04903906844109726
Pb_6,0.0694006759707131
