,hisS
Cr_1,0.0020812445387168262
Cr_2,0.02263090422405582
Cr_3,0.040817340459758815
Cr_4,0.04431402883594603
Cr_5,0.043440879022115284
Cr_6,0.051092195836212224
Fe_1,-0.019107599504932498
Fe_2,-0.04382499487690408
Fe_3,-0.08366237052846127
Fe_4,-0.12798580922244554
Fe_5,-0.16171476374556526
Fe_6,-0.17233883049989993
Cd_1,-0.004552975164470354
Cd_2,-0.009795776806960884
Cd_3,-0.008344716673288953
Cd_4,-0.006085592455698972
Cd_5,-0.010088831839103548
Cd_6,-0.014837301917232147
Zn_1,-0.03309157356456791
Zn_2,-0.03996500935954676
Zn_3,0.00027307879009374824
Zn_4,0.04881989434953105
Zn_5,0.9451298188208864
Zn_6,0.004736031015296103
Cu_1,0.0017602614020609559
Cu_2,0.01095169490171365
Cu_3,0.013632481866448958
Cu_4,0.011700719265129266
Cu_5,0.018859845325633458
Cu_6,0.03469640611513903
Pb_1,0.021518709817300846
Pb_2,0.029547854322770423
Pb_3,0.04590514981516302
Pb_4,0.07373814279662398
Pb_5,0.09832530363974036
Pb_6,0.118235535738394
