,ydiQ
Cr_1,-0.0023869249469664795
Cr_2,-0.00417627433568008
Cr_3,0.0028364548992071852
Cr_4,0.009163147340633516
Cr_5,0.012209346046412604
Cr_6,0.014543887734673104
Fe_1,-0.008950159307420666
Fe_2,-0.027715299995595882
Fe_3,-0.04176272608337087
Fe_4,-0.048396101095196965
Fe_5,-0.0536276346396098
Fe_6,-0.0504352626353547
Cd_1,0.009436287962089231
Cd_2,0.011307121966868424
Cd_3,0.01477846586988534
Cd_4,0.020387909434408918
Cd_5,0.017092094431632752
Cd_6,0.025821023923932426
Zn_1,-0.005051809578269855
Zn_2,-0.010443394758122984
Zn_3,-0.011209796215165959
Zn_4,-0.008303043164209769
Zn_5,-0.0024623424254370144
Zn_6,0.007872346142280993
Cu_1,-0.002320416578347229
Cu_2,-0.0012815056478261686
Cu_3,0.0005642842990699487
Cu_4,-0.0048960844639372005
Cu_5,-0.003701277080340391
Cu_6,-0.002313618467029355
Pb_1,0.0035673835600680804
Pb_2,0.004573080624918929
Pb_3,0.0011864586782481589
Pb_4,0.007439440596937567
Pb_5,0.008359814240544638
Pb_6,0.007978509426852447
