,yjgR
Cr_1,0.020089532612694864
Cr_2,0.026952988651155925
Cr_3,0.05208137871533848
Cr_4,0.0835088907016513
Cr_5,0.09138727171631293
Cr_6,0.14139360081811062
Fe_1,-0.00833339924017755
Fe_2,-0.027812855296395145
Fe_3,-0.04636827089382465
Fe_4,-0.059079706093307635
Fe_5,-0.07944809467406996
Fe_6,-0.08632819373699249
Cd_1,0.00656457737629597
Cd_2,0.009558701776965023
Cd_3,0.025367637869167584
Cd_4,0.03326817239289875
Cd_5,0.0372505820231691
Cd_6,0.04853679310139438
Zn_1,-0.007061649388069677
Zn_2,-0.014823161553896529
Zn_3,0.0013857216087920724
Zn_4,-0.0011148381638824867
Zn_5,-0.0007481310193455611
Zn_6,-0.003952027649381699
Cu_1,0.007429236027523967
Cu_2,0.008334083247992246
Cu_3,0.010298043059174537
Cu_4,0.006079274317735996
Cu_5,0.010905498588342005
Cu_6,0.016472265571601027
Pb_1,-0.00011956509152359587
Pb_2,0.0040859646747673645
Pb_3,0.012057647722578651
Pb_4,0.01799114151609485
Pb_5,0.028430086294805312
Pb_6,0.03810186961642751
