,kefF
Cr_1,-0.00134663941606632
Cr_2,0.00758197389564884
Cr_3,0.010824803936417628
Cr_4,0.01624162991087989
Cr_5,0.028766885342858886
Cr_6,0.033582103688072316
Fe_1,-0.00935316515744315
Fe_2,-0.03765568391827609
Fe_3,-0.07271286893128419
Fe_4,-0.10396775382624793
Fe_5,-0.14066714618897996
Fe_6,-0.1625052931005554
Cd_1,0.01077084614266392
Cd_2,0.02335453456759392
Cd_3,0.03422030768296242
Cd_4,0.04535859699194585
Cd_5,0.05717279079984516
Cd_6,0.06998399510639677
Zn_1,-0.0018188319278677953
Zn_2,0.031206500575456226
Zn_3,0.09055235498724662
Zn_4,-0.05332642515765184
Zn_5,-0.09356810755726147
Zn_6,-0.1212504003840534
Cu_1,0.0036713562008348047
Cu_2,0.008480602987134659
Cu_3,0.019878184343527342
Cu_4,0.029481569983761526
Cu_5,0.037771615486431535
Cu_6,0.04586501857489217
Pb_1,-0.014156506306626588
Pb_2,-0.02610585438324924
Pb_3,-0.03128872083959939
Pb_4,-0.03749842625383374
Pb_5,-0.05006845460073313
Pb_6,-0.03631459543231072
