,A,GalR
R2,,0.3699498037725708
xmin,,-5.1383514795
xmid,,0.5664010151615919
xmax,,1.832531201
ystart,,-0.631719114067165
yend,,29.45748660051926
Rich_TF_over_stress__BHIN_Growth_Late__1,-4.538814922353048,-2.9670215545
Rich_TF_over_stress__BHIN_Growth_Late__2,-5.125089424236895,-2.1518957795
Rich_TF_over_stress__BHIN_Growth_Mid__1,-4.340230377602333,-0.8469718955000003
Rich_TF_over_stress__BHIN_Growth_Mid__2,1.207720801235039,-2.8028462865
Rich_TF_over_stress__BHIN_Growth_Stat__1,0.1153753852272102,-2.7563128005
Rich_TF_over_stress__BHIN_Growth_Stat__2,0.5250549078226321,-2.6109827575
Rich_TF_over_stress__LBv2_Growth_Late__1,-3.8716259090500658,-0.8810796415000004
Rich_TF_over_stress__LBv2_Growth_Late__2,-1.5588773882532676,-1.0589448074999996
Rich_TF_over_stress__LBv2_Growth_Mid__1,-0.4861491519718078,0.1046826105000002
Rich_TF_over_stress__LBv2_Growth_Mid__2,0.4861491519718114,-0.1046826105000002
Rich_TF_over_stress__LBv2_Growth_Stat__1,2.619977275767545,-3.9315075015
Rich_TF_over_stress__LBv2_Growth_Stat__2,2.472542352484861,-4.0688375305
Rich_TF_over_stress__MHB_Rich_Mid__1,-5.172016203558037,-2.1032655905
Rich_TF_over_stress__MHB_Rich_Mid__2,-3.903127732417746,-2.0907840415
Rich_TF_over_stress__NBO_Rich_Mid__1,-3.922424462751222,-0.1127929014999997
Rich_TF_over_stress__NBO_Rich_Mid__2,-3.223203898670574,-1.0264188535
Carbons__M9Na_Arabinose_Mid__1,2.365679338392159,1.832531201
Carbons__M9Na_Arabinose_Mid__2,1.7484241493992976,1.3600573239999996
Carbons__M9Na_Galactose_Mid__1,46.74614726173361,1.7188682320000002
Carbons__M9Na_Galactose_Mid__2,50.24476280733049,1.4454652879999994
Carbons__M9Na_GlcNAcGrowth_Late__1,1.063240207978866,-0.2249953170000003
Carbons__M9Na_GlcNAcGrowth_Late__2,0.0787274602598402,-0.9799800120000004
Carbons__M9Na_GlcNAcGrowth_Mid__1,0.3816722917740582,-0.3663028480000001
Carbons__M9Na_GlcNAcGrowth_Mid__2,-0.6130771981321117,-0.4932969800000002
Carbons__M9Na_GlcNAcGrowth_Stat__1,3.6132360811325386,-2.022860765
Carbons__M9Na_GlcNAcGrowth_Stat__2,4.163139034693593,-2.481871226
Carbons__M9Na_GlcNAc_Mid__1,-1.784345298077319,0.2737912360000001
Carbons__M9Na_GlcNAc_Mid__2,-0.5355146633749494,0.1158195239999999
Carbons__M9Na_Gluconate_Mid__1,-1.8905495840413007,-0.3291101000000003
Carbons__M9Na_Gluconate_Mid__2,-1.3160515424511197,-0.3034030270000003
Carbons__M9Na_Glucosamine_Mid__1,2.2963190662331217,-1.015506143
Carbons__M9Na_Glucosamine_Mid__2,2.524398568411919,-1.2439800330000002
Carbons__M9Na_Glycerol_Mid__1,0.2498587001163099,0.159989855
Carbons__M9Na_Glycerol_Mid__2,7.327407687785662,-0.2332403250000001
Carbons__M9Na_Maltose_Mid__1,-0.6748846950474197,0.5230055889999994
Carbons__M9Na_Maltose_Mid__2,-0.0338532304141175,-0.113576214
Carbons__M9Na_Mannitol_Mid__1,-2.158892169489468,0.5921190909999998
Carbons__M9Na_Mannitol_Mid__2,0.583358805555603,0.8612931659999994
Carbons__M9Na_Trehalose_Mid__1,1.0378918151560397,-0.620569455
Carbons__M9Na_Trehalose_Mid__2,-1.4026277627981196,0.1021297739999997
Carbons__M9Na_ethanol_Mid__1,18.745901672910943,-0.9212836590000002
Carbons__M9Na_ethanol_Mid__2,20.3209276608677,-1.0683227370000004
Carbons__M9Na_fructose_Mid__1,-3.248960791510784,-0.5571656220000003
Carbons__M9Na_fructose_Mid__2,-3.494351893532532e-05,-0.6681576820000004
Carbons__M9Na_fumarate_Mid__1,2.055096570113433,0.1527856839999994
Carbons__M9Na_fumarate_Mid__2,1.159696510911509,0.6643285939999997
Carbons__M9Na_glucoseGrowth_Late__1,0.1086374694776521,-0.4924567680000002
Carbons__M9Na_glucoseGrowth_Late__2,-0.2939935220345438,-0.2245497790000001
Carbons__M9Na_glucoseGrowth_Mid__1,1.0005775328607065,-0.1173027440000002
Carbons__M9Na_glucoseGrowth_Mid__2,-1.000577532860724,0.1173027439999998
Carbons__M9Na_glucoseGrowth_Stat__1,2.8127232052598417,-1.0673210780000004
Carbons__M9Na_glucoseGrowth_Stat__2,2.026746624049551,-1.6017121680000002
Carbons__M9Na_ribose_Mid__1,5.0302836144093215,0.7134674969999999
Carbons__M9Na_ribose_Mid__2,3.329494218358443,0.7781792469999997
Carbons__M9Na_succinate_Mid__1,-3.3318839623663608,-0.1972867540000003
Carbons__M9Na_succinate_Mid__2,-1.5801041747896465,0.4731711770000002
Carbons__M9Na_sucrose_Mid__1,4.753937843471705,0.6772949859999997
Carbons__M9Na_sucrose_Mid__2,4.264656819155813,0.2270619839999996
Rich_TF_over_stress__LBv2_HapROver_Late__1,-6.412250385855247,-2.2758811255
Rich_TF_over_stress__LBv2_HapROver_Late__2,-6.050512140831022,-1.8443158545000005
Rich_TF_over_stress__LBv2_HapROver_Mid__1,-4.789622643492489,-1.5417384944999997
Rich_TF_over_stress__LBv2_HapROver_Mid__2,-5.365841957723301,-1.5839140365000004
Rich_TF_over_stress__LBv2_HapROver_Stat__1,-1.7880420357526037,-0.7268061135000004
Rich_TF_over_stress__LBv2_HapROver_Stat__2,-2.3824708208807217,-0.6421025685000004
Rich_TF_over_stress__LBv2_LuxOOver_Late__1,-1.1145653525861698,-1.6996389565000003
Rich_TF_over_stress__LBv2_LuxOOver_Late__2,-1.7250203038437155,-1.6734400925
Rich_TF_over_stress__LBv2_LuxOOver_Mid__1,-2.382424278678261,-2.6843045375
Rich_TF_over_stress__LBv2_LuxOOver_Mid__2,-3.28568994993294,-2.1172694285
Rich_TF_over_stress__LBv2_LuxOOver_Stat__1,-2.962944096030532,-1.6206039624999995
Rich_TF_over_stress__LBv2_LuxOOver_Stat__2,-2.6020961184622253,-2.2760660075
Rich_TF_over_stress__LBv2_QstROver_Late__1,-1.0290474565843426,-3.8040153865
Rich_TF_over_stress__LBv2_QstROver_Late__2,-1.4181434721840889,-3.4987489725
Rich_TF_over_stress__LBv2_QstROver_Mid__1,-3.942129730287336,-3.7838863885
Rich_TF_over_stress__LBv2_QstROver_Mid__2,-4.461058265276633,-3.0892756445000003
Rich_TF_over_stress__LBv2_QstROver_Stat__1,-3.75040870136787,-2.1279997005
Rich_TF_over_stress__LBv2_QstROver_Stat__2,-4.986224970081097,-2.6843956645
Rich_TF_over_stress__LBv2_TfoXOver_Late__1,3.512033867102306,-5.1383514795
Rich_TF_over_stress__LBv2_TfoXOver_Late__2,1.947489027554503,-4.5330994175
Rich_TF_over_stress__LBv2_TfoXOver_Mid__1,-6.219216986732253,-0.1027043695000005
Rich_TF_over_stress__LBv2_TfoXOver_Mid__2,-4.337224199214346,-0.2136614574999997
Rich_TF_over_stress__LBv2_TfoXOver_Stat__1,-7.088390159847095,-1.9408443475
Rich_TF_over_stress__LBv2_TfoXOver_Stat__2,-6.89768851802852,-2.1932748565
Salinity and Temperature Variations__20-300-T1__1,0.2157400964678104,0.2133366244999992
Salinity and Temperature Variations__20-300-T1__2,0.263301970954794,-0.0649372315
Salinity and Temperature Variations__20-300-T2__1,-0.2157400964678111,-0.2133366245000001
Salinity and Temperature Variations__20-300-T2__2,-1.0493871762090012,-0.2099800145000001
Rich_TF_over_stress__LBv2_LowpH_Mid__1,-2.811973326442696,-1.5189765325
Rich_TF_over_stress__LBv2_LowpH_Mid__2,-3.3040062869002007,-1.1565875205000005
Rich_TF_over_stress__LBv2_highSalt_Mid__1,-2.386163644202389,-1.6489777955000005
Rich_TF_over_stress__LBv2_highSalt_Mid__2,-3.098243303680364,-1.5590705895
Carbons__M9Na_glucoseKanamycin_Mid__1,4.605580618806836,0.0757951459999999
Carbons__M9Na_glucoseKanamycin_Mid__2,4.839972456216038,-0.2195568530000002
microgravity__R_wt__1,0.0070191146661549,-0.1033013714999997
microgravity__R_wt__2,-0.0070191146661529,0.1033013715000001
microgravity__R_s__1,-1.6558799795595394,0.3381801735
microgravity__R_s__2,-1.7011296800850846,0.1668086225
Competence_condition__OSS_TfoXOver_Stat__1,5.538986470170515,0.9010239435000004
Competence_condition__OSS_TfoXOver_Stat__2,4.034749557743496,-0.2788027724999997
Competence_condition__OSS_VectorOnly_Stat__1,0.6808848190288483,-0.2436726304999998
Competence_condition__OSS_VectorOnly_Stat__2,-0.6808848190288366,0.2436726304999998
Competence_Recovery__LBv2_TfoXOver_Recov__1,-2.3918613246852285,-0.0060089215000003
Competence_Recovery__LBv2_TfoXOver_Recov__2,-2.2133078117799,0.1172252545000001
Competence_Recovery__LBv2_VectorOnly_Recov__1,-2.4180046925878087,-0.0085790645000001
Competence_Recovery__LBv2_VectorOnly_Recov__2,2.4180046925878056,0.0085790644999996
