,A,MetJ
R2,,0.7133679971812323
xmin,,-2.761802194
xmid,,-1.703297632822432
xmax,,2.2578750210000003
ystart,,-10.925465570974211
yend,,13.481429402538517
ecoli_00001,-0.0874333325,-0.079342653
ecoli_00002,0.0874333325,0.079342653
ecoli_00003,8.7442674821,1.6048190610000002
ecoli_00004,6.4407641793,1.03889058
ecoli_00005,0.5073731726,-0.005803676000000001
ecoli_00006,0.6041070631000001,0.037792165
ecoli_00007,12.3851109116,2.227476661
ecoli_00008,12.4202569471,2.2578750210000003
ecoli_00009,1.495754979,0.058909729
ecoli_00010,1.5201194765000001,-0.024020786000000002
ecoli_00011,1.10825356,0.663087022
ecoli_00012,1.0906699802,0.6760802340000001
ecoli_00014,0.1722271758,0.53533729
ecoli_00015,1.2076437539,0.6916216780000001
ecoli_00016,1.1414703452000001,0.700325292
ecoli_00017,0.8068180919,0.671548824
ecoli_00018,0.9640621441,0.7756436590000001
ecoli_00019,-1.9300981973,-0.213041274
ecoli_00020,-2.1131678257,-0.265355392
ecoli_00021,-7.4162350387,-0.546955132
ecoli_00022,-7.2416454674,-0.478410871
ecoli_00023,2.2330628846,0.085099959
ecoli_00024,1.974442774,0.114434383
ecoli_00025,1.3450060209,0.39513668300000004
ecoli_00026,1.6636677762,0.373972503
ecoli_00027,1.1478707521,0.108939538
ecoli_00028,1.1379541322,0.22389188200000001
ecoli_00029,-3.6930126899999998,-0.608197595
ecoli_00030,-3.8037161981,-0.734103842
ecoli_00031,-4.5145079351,-0.420540144
ecoli_00032,-4.30384051,-0.448891321
ecoli_00033,-2.3488901207,0.152317074
ecoli_00034,-1.4508098853,-0.18071025400000001
ecoli_00035,-2.5876800202,0.037164481
ecoli_00036,-2.5368501464,-0.072468435
ecoli_00037,-4.4281520738,-0.055179333000000004
ecoli_00038,-4.2580117389,-0.112139053
ecoli_00039,1.2200091271,0.301950265
ecoli_00040,0.7310346668000001,0.24683826500000003
ecoli_00041,-1.5161754262,-0.293957931
ecoli_00042,-1.2500495851,-0.34093622
ecoli_00043,1.7426063374,0.315645785
ecoli_00044,1.5068938067,0.429661601
ecoli_00045,2.0670261168,0.452471208
ecoli_00046,2.1462934709,0.491894769
ecoli_00047,0.471708675,0.29986936200000003
ecoli_00048,0.3144790099,0.28409831900000004
ecoli_00049,0.32591679020000003,-0.054388067000000005
ecoli_00050,0.8608263668,-0.17336004600000002
ecoli_00051,0.8990870034,0.11473680200000001
ecoli_00052,0.6927166083,-0.077180316
ecoli_00053,0.5744783522,-0.19891222500000003
ecoli_00054,-2.1243540915,-0.251840872
ecoli_00055,-2.0217389204,-0.441274052
ecoli_00056,0.7065829458,-0.040740247
ecoli_00057,-0.0542693795,-0.056202207000000004
ecoli_00058,1.1624802165,0.685628793
ecoli_00059,1.15894066,0.714193787
ecoli_00060,0.7416819052,0.687795202
ecoli_00061,0.7226764843,0.600219491
ecoli_00062,1.3683498928,0.7693029440000001
ecoli_00063,1.7678844465,0.7941369880000001
ecoli_00064,-2.4147643899,0.780571804
ecoli_00065,-2.5343271633,0.38863771700000005
ecoli_00066,1.6669954683000001,1.416517801
ecoli_00067,1.8038373041,1.430037611
ecoli_00068,-7.10836646,-0.772969992
ecoli_00070,-0.580964212,0.03292602
ecoli_00071,-1.1090430453,-0.118802952
ecoli_00072,-1.3588596759,0.015042925
ecoli_00073,2.43794696,0.57225477
ecoli_00074,2.7520797732,0.409583831
ecoli_00075,-8.616126965,-0.924005315
ecoli_00077,-7.3393056485,-0.900374101
ecoli_00078,-4.0412248662,-0.313207206
ecoli_00079,-7.444741518,-1.166454668
ecoli_00080,-7.9120600736,-1.7878350470000002
ecoli_00081,-9.1574311171,-0.9310161880000001
ecoli_00082,-0.9960093889,-0.547923127
ecoli_00083,-0.7050245796,-0.5652056870000001
ecoli_00084,0.3901225285,-0.442327493
ecoli_00085,0.4048093095,-0.338439996
ecoli_00086,-4.6882805053,-0.138025811
ecoli_00087,-5.0515961196,-0.09550514900000001
ecoli_00088,-1.0882715488999999,0.116794347
ecoli_00089,-0.957983377,0.145097528
ecoli_00090,0.5032352537,0.397892546
ecoli_00091,0.47656737730000004,0.269090129
ecoli_00092,-0.1140593587,-0.687071556
ecoli_00093,0.067080761,-0.21662746600000002
ecoli_00094,-9.4865754972,-0.9760810620000001
ecoli_00095,-9.8943163525,-1.210914787
ecoli_00096,0.1336448184,-0.251959003
ecoli_00097,0.3477700636,-0.174318085
ecoli_00098,-10.760293779,-1.111024419
ecoli_00099,-10.586213556,-0.9818447280000001
ecoli_00100,0.3488508711,0.086314187
ecoli_00101,-3.3126026647,-1.262114517
ecoli_00102,-3.5681059074,-1.110640893
ecoli_00103,-8.5291255153,-0.93790423
ecoli_00104,-8.6956846749,-0.8346254280000001
ecoli_00105,-1.7798179978,-0.305630931
ecoli_00106,1.022471723,0.132585205
ecoli_00107,0.0605824627,-0.0065276940000000006
ecoli_00108,-3.0876433738,-0.214110356
ecoli_00109,-4.1989770206,-0.334612363
ecoli_00110,0.4079324938,-0.108611284
ecoli_00111,0.5706098794000001,-0.060702536
ecoli_00112,1.0855322694,0.14311881
ecoli_00113,-5.0246748727,-0.40970928100000004
ecoli_00114,-5.5020678412,-0.741167417
ecoli_00115,-5.3830547765,-0.6239754750000001
ecoli_00116,-1.6946415167,-0.25766962
ecoli_00117,-1.5796138407,-0.42906942800000003
ecoli_00118,-1.886049549,-0.30620772
ecoli_00119,-1.2636737063,-0.407785012
ecoli_00120,-1.572190687,-0.263626897
ecoli_00121,-1.4737393418,-0.347910151
ecoli_00122,-1.6574446594,-0.636183732
ecoli_00123,-1.5341910922,-0.80496734
ecoli_00124,-1.155741368,-0.6981451070000001
ecoli_00125,-5.2406705377,-1.247942964
ecoli_00126,3.5318223211,0.073772157
ecoli_00127,2.6206599648,-0.19844251300000001
ecoli_00128,3.8248698568,0.154898625
ecoli_00129,-8.5417248836,-1.407896346
ecoli_00130,-3.6840477131,-1.15300146
ecoli_00131,-4.1169422802,-1.124781767
ecoli_00132,-2.0548724449,-0.28650744
ecoli_00133,-10.849678903000001,-1.905076551
ecoli_00134,0.4532798313,-0.43376308
ecoli_00135,1.0944415984,0.11403107200000001
ecoli_00136,-3.2659400095,-1.091022164
ecoli_00137,1.5805654122,0.190134877
ecoli_00138,-11.5015849543,-1.885070898
ecoli_00139,-6.9076215269,-1.4232141999999999
ecoli_00140,0.8180773463000001,0.14023729000000001
ecoli_00141,-8.7270838144,-1.8024316310000001
ecoli_00142,-3.530820968,-0.025564458
ecoli_00143,-2.8450966293,-0.556995825
ecoli_00144,-11.2114593128,-0.586019185
ecoli_00145,-10.1115695072,-1.749455415
ecoli_00146,0.9808254425,0.160197537
ecoli_00147,-4.6819925217,-1.127161359
ecoli_00148,-8.1481140944,-1.420682692
ecoli_00149,-0.26870295980000003,0.014245898000000002
ecoli_00150,-10.3286392925,-1.55674479
ecoli_00151,-1.5017278545,0.553928298
ecoli_00152,-2.0812983328,0.22946886600000002
ecoli_00153,-0.8819387726000001,0.561341199
ecoli_00154,-14.0332008819,-1.5671080430000002
ecoli_00155,-2.8983475548,0.11552058700000001
ecoli_00157,-3.6699866292000003,-0.594323218
ecoli_00158,-1.7510080657,-0.874143419
ecoli_00159,-0.3429015308,0.532066887
ecoli_00160,0.1647405833,-0.030922996
ecoli_00169,0.45672712730000004,-0.38471418700000004
ecoli_00170,0.3817300046,-0.372843148
ecoli_00171,0.08953002880000001,-0.6158134150000001
ecoli_00172,-0.7551661281000001,-0.350475344
ecoli_00173,-2.3739911804,-0.9113583590000001
ecoli_00174,-1.1638758764000001,-0.837894637
ecoli_00175,-10.9938933413,-1.651579487
ecoli_00176,-12.2378824592,-1.629882104
ecoli_00177,6.2312075535,1.242112681
ecoli_00178,5.8035552439,0.775709227
ecoli_00179,-3.0880061387,-1.14892291
ecoli_00180,-3.3103705418000002,-1.266393364
ecoli_00181,-12.4495384018,-1.213884283
ecoli_00182,-12.4868125556,-1.269419966
ecoli_00183,1.306480914,0.06166976800000001
ecoli_00184,0.3090132647,0.181194704
ecoli_00185,0.4840029699,-0.5207748630000001
ecoli_00186,0.3912923189,-0.5810169350000001
ecoli_00187,-2.3402118231999998,-0.43936181
ecoli_00188,-2.1909695727,-0.45849150400000005
ecoli_00189,0.8748487025,-0.27019748
ecoli_00190,0.6559061391000001,-0.20130060600000002
ecoli_00191,-0.7407728853000001,-0.322429821
ecoli_00192,-1.2700095437,-0.251669776
ecoli_00193,-0.1196086735,-0.08553917500000001
ecoli_00194,0.6432111951,-0.030317865000000003
ecoli_00195,0.8905160964000001,-0.064005327
ecoli_00196,0.7406760936,0.49673044400000005
ecoli_00197,0.38890577730000003,0.46699458600000004
ecoli_00198,1.0166384732,0.051665296000000006
