,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A,rep15_idx,rep15_A,rep16_idx,rep16_A,rep17_idx,rep17_A,rep18_idx,rep18_A,rep19_idx,rep19_A,rep20_idx,rep20_A,rep21_idx,rep21_A
0,ME_vs_LE__THY_None_WT_earlylog-planktonic,-7.401486830834377e-17,1.5198667977799858,3.0,0.0,-1.3523938861,1.0,-0.2924454913,2.0,1.6448393773999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ME_vs_LE__THY_None_WT_latelog-planktonic,-3.5320196891,1.1403004909463414,3.0,3.0,-4.2404816966,4.0,-4.138957972,5.0,-2.2166193987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ME_vs_LE__THY_None_WT_earlystationary-planktonic,-2.777898279566667,0.41915653847679224,3.0,6.0,-2.383151833,7.0,-3.2178073475,8.0,-2.7327356582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ME_vs_S__THY_None_WT_mid-exponential_OD1.0,4.229421046191072e-17,2.5631155305636013,21.0,9.0,-0.299388759,10.0,-1.0208428355,11.0,-1.7051395486,12.0,-1.7821556887,13.0,1.8976198957000001,14.0,-1.1516926439,15.0,-0.9966028734000001,16.0,-1.738760448,17.0,-0.1131307005,18.0,-4.0730161702,19.0,-4.0407961314,20.0,1.1736778483,21.0,1.6911287603,22.0,0.1545496077,23.0,-0.7211150056000001,24.0,0.1740755343,25.0,-0.5564331698,26.0,-1.2810938997,27.0,3.1573719494,28.0,4.4991250422,29.0,6.7326192364
4,ME_vs_S__THY_None_WT_early-stationary_OD1.8,0.28554032939523794,2.555033490115831,21.0,30.0,2.3785367288,31.0,-2.2468608224,32.0,-0.31283407620000003,33.0,-0.561828297,34.0,-2.7898988893,35.0,0.4661525576,36.0,4.882286366,37.0,3.2114516775,38.0,3.0923608351,39.0,-1.1837967262,40.0,-1.8327550739,41.0,-1.1198153180000001,42.0,-0.2225021275,43.0,1.8615778317,44.0,-0.30935939030000004,45.0,-0.1331134568,46.0,6.6649965189,47.0,0.42777518810000004,48.0,-1.9820555215,49.0,-1.1351675545,50.0,-3.1588035328
5,WT_vs_Del_ccpA__THY_None_WT_exponential,0.0,0.4651211499536895,3.0,51.0,-0.5205204134,52.0,0.145667194,53.0,0.3748532194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WT_vs_Del_ccpA__THY_None_Del-ccpA_exponential,-0.18255390057499998,0.3904140057180565,4.0,54.0,-0.2391658339,55.0,-0.1267845864,56.0,0.2927114914,57.0,-0.6569766734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WT_vs_Del_covR__THY_None_WT_late-exponential,-2.5000015946297083e-11,0.8661722757066873,4.0,58.0,1.1953917852,59.0,-0.6016880505000001,60.0,-0.6733695569,61.0,0.0796658221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WT_vs_Del_covR__THY_None_covR-D53A_late-exponential,-7.870303007224999,0.4140974125633235,4.0,62.0,-7.3433357693,63.0,-8.3146378272,64.0,-8.045574509,65.0,-7.7776639234000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WT_vs_Del_covR__THY_None_covS-E281A_late-exponential,-5.855918396,0.462662051667114,4.0,66.0,-6.095655872,67.0,-6.2863896023,68.0,-5.2251798498,69.0,-5.8164482599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WT_vs_Del_covR__THY_None_covS-T284A_late-exponential,1.197082562275,0.40124939547374777,4.0,70.0,1.1934857287,71.0,1.7483881442,72.0,1.0437686662,73.0,0.80268771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,WT_vs_Del_dahA__THY_None_WT_mid-exponential,-1.666666804567285e-11,1.1983188261873956,6.0,74.0,0.8990776478,75.0,1.0589106941,76.0,1.2665733872,86.0,-1.3331038521,88.0,-0.7456950726,90.0,-1.1457628045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,WT_vs_Del_dahA__THY_None_WT_early-stationary,-9.454172473216667,5.207951919869942,6.0,77.0,-5.0027925344,78.0,-4.8690920737,79.0,-4.2916064386,87.0,-14.2445994071,89.0,-13.4821141531,91.0,-14.8348302324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,WT_vs_Del_dahA__THY_None_Del_dahA_mid-exponential,-5.1201285214666665,0.16897248837211143,3.0,80.0,-5.248304488,82.0,-4.9286439408,84.0,-5.1834371356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,WT_vs_Del_dahA__THY_None_Del_dahA_early-stationary,-14.849057221199999,0.19773668928391208,3.0,81.0,-15.0622828447,83.0,-14.6717272022,85.0,-14.8131616167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,WT_vs_Del_fabT__THY_35°C_WT_mid-exponential_OD1.0,0.0,0.7434166116546777,3.0,92.0,-0.7448350621000001,93.0,0.002845067,94.0,0.7419899951000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,WT_vs_Del_fabT__THY_35°C_Del_fabT_mid-exponential_OD1.0,-1.5460176486333335,1.0670542227683861,3.0,95.0,-1.8244511903,96.0,-0.36734872090000004,97.0,-2.4462530346999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,WT_vs_Del_fabT__THY_40°C_WT_mid-exponential_OD1.0,-2.7972658508333335,0.7437765550371381,3.0,98.0,-3.3258465325,99.0,-1.9467542113,100.0,-3.1191968087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,WT_vs_Del_fabT__THY_40°C_Del_fabT_mid-exponential_OD1.0,-3.481346677,0.6875144690329489,3.0,101.0,-3.0179316224,102.0,-3.1548329126,103.0,-4.271275496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,WT_vs_Del_fabT__THY_35°C_WT_stationary,-1.2207677043666667,0.8838684426243014,3.0,104.0,-0.4941727275,105.0,-0.9633654034,106.0,-2.2047649822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,WT_vs_Del_fabT__THY_35°C_Del_fabT_stationary,-7.939902084866667,0.36237152314611737,3.0,107.0,-7.5716739978,108.0,-7.951913898,109.0,-8.2961183588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,WT_vs_Del_fabT__THY_40°C_WT_stationary,-6.892348460833333,0.37310049049423427,3.0,110.0,-6.601226312,111.0,-6.7628824514,112.0,-7.3129366191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,WT_vs_Del_fabT__THY_40°C_Del_fabT_stationary,-7.1778315346,0.1292200967901641,3.0,113.0,-7.0460180793,114.0,-7.304291901,115.0,-7.1831846235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
