,A,PurR
R2,,0.014803371735501947
xmin,,-1.9660099073000001
xmid,,-0.07696079628287013
xmax,,0.9268676297
ystart,,-1.9614593548389814
yend,,-6.078438642090734
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:1.0,-1.3523938861,0.1500919742
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:2.0,-0.2924454913,-0.35762922700000005
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:3.0,1.6448393773999999,0.20753725280000002
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:1.0,-4.2404816966,-0.9660919373
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:2.0,-4.138957972,-1.0718841326
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:3.0,-2.2166193987,-0.6176674866
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:1.0,-2.383151833,-1.4974053088
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:2.0,-3.2178073475,-1.5942489151
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:3.0,-2.7327356582,-1.3502205465000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:1.0,-0.299388759,0.3465215387
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:2.0,-1.0208428355,0.0068795354
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:3.0,-1.7051395486,-0.028707075500000002
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:4.0,-1.7821556887,-0.043592866800000005
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:5.0,1.8976198957000001,0.23532157
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:6.0,-1.1516926439,0.1764096134
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:7.0,-0.9966028734000001,0.18847070330000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:8.0,-1.738760448,-0.39348680610000003
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:9.0,-0.1131307005,-0.288491932
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:10.0,-4.0730161702,0.10234618420000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:11.0,-4.0407961314,0.27303563340000003
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:12.0,1.1736778483,-0.36570811000000003
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:13.0,1.6911287603,-0.10165545720000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:14.0,0.1545496077,-0.0820727993
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:15.0,-0.7211150056000001,0.06502895780000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:16.0,0.1740755343,0.0992327181
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:17.0,-0.5564331698,-0.0086322258
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:18.0,-1.2810938997,0.1490554126
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:19.0,3.1573719494,0.046277947300000004
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:20.0,4.4991250422,-0.2607576156
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:21.0,6.7326192364,-0.1154749258
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:1.0,2.3785367288,-0.5272034497
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:2.0,-2.2468608224,-0.9049343821
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:3.0,-0.31283407620000003,-0.9320346084000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:4.0,-0.561828297,-0.6884136328
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:5.0,-2.7898988893,-0.5276975833
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:6.0,0.4661525576,-0.3606460274
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:7.0,4.882286366,-0.4126032395
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:8.0,3.2114516775,-0.7020147256
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:9.0,3.0923608351,-0.8662753483000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:10.0,-1.1837967262,-0.8577685752
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:11.0,-1.8327550739,-0.8748847007
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:12.0,-1.1198153180000001,-1.1303395615
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:13.0,-0.2225021275,-0.7534446778
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:14.0,1.8615778317,-1.1859602094000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:15.0,-0.30935939030000004,-1.0488764716
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:16.0,-0.1331134568,-0.8125980460000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:17.0,6.6649965189,-1.9660099073000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:18.0,0.42777518810000004,-0.9781423597000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:19.0,-1.9820555215,-0.7209973886000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:20.0,-1.1351675545,-0.7369490186000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:21.0,-3.1588035328,-0.7570898949
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:1.0,-0.5205204134,-0.07695095
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:2.0,0.145667194,0.06681177540000001
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:3.0,0.3748532194,0.0101391746
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:1.0,-0.2391658339,0.5196710539
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:2.0,-0.1267845864,-0.4904709377
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:3.0,0.2927114914,-0.36755155980000004
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:4.0,-0.6569766734,-0.3142742149
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:1.0,1.1953917852,0.0037267195
