,-0.0710550108,-0.0532912581,-0.035527505400000006,-0.01776375270000001,-1.3877787807814457e-17,0.017763752699999982,0.03552750539999998,0.053291258099999975,0.07105501079999997,0.08881876349999997,0.10658251619999996,0.12434626889999996,0.14211002159999997,0.15987377429999994,0.17763752699999996,0.19540127969999999,0.21316503239999995,0.23092878509999992,0.24869253779999995,0.26645629049999997
thresh,-0.07993688715,0.07993688715,2,,,,,,,,,,,,,,,,,
unreg,1,11,92,444,775,284,72,14,11,3,0,1,0,2,1,1,0,0,0,0
PurR,0,0,0,0,0,0,1,1,0,0,0,1,0,2,2,2,2,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],['SP5448_01050' 'SP5448_00260' 'lctO'],[],['oxlT'],[],['xpt' 'pbuX'],['purH'],['XK27_00340'],[],[],[],[]
PurR_genes,[],[],[],[],[],[],['guaC'],['fhs'],[],[],[],['purK'],[],['purD' 'pbuO'],['purE' 'purM'],['purL' 'purF'],['purN' 'purC'],[],[],[]
