,mrcB
Cr_1,-0.0038911608559044283
Cr_2,-0.0033183865075021076
Cr_3,0.0018380181989134685
Cr_4,0.013268103405779644
Cr_5,0.021400957176316418
Cr_6,0.03191728086488708
Fe_1,0.004931957558294217
Fe_2,0.010048066055845259
Fe_3,0.012887984049466828
Fe_4,0.006171583049272242
Fe_5,-0.01141001720729192
Fe_6,-0.038561571613991937
Cd_1,0.004684828981389314
Cd_2,0.005414809778277328
Cd_3,0.0030830493988497714
Cd_4,9.339642654606756e-05
Cd_5,-0.013290611741122851
Cd_6,-0.015010702380053403
Zn_1,0.005173278574590625
Zn_2,0.01813822249006386
Zn_3,0.034404701399076684
Zn_4,0.04246742056146132
Zn_5,0.046690912167298086
Zn_6,0.04804656653871822
Cu_1,0.0043426976746962775
Cu_2,0.00783590603990497
Cu_3,0.007602589145838331
Cu_4,0.007535005075028634
Cu_5,0.005279546655331347
Cu_6,0.0022675947951848645
Pb_1,0.022134824164395182
Pb_2,0.039499495254455036
Pb_3,0.057418159669765385
Pb_4,0.07433348944913253
Pb_5,0.09010634624995743
Pb_6,0.10452019813407046
