,alsA
Cr_1,0.005633036906972143
Cr_2,0.00427573295820148
Cr_3,0.011021271565423041
Cr_4,0.016978369532874148
Cr_5,0.016158580018760946
Cr_6,0.02144994009247047
Fe_1,-0.008717309098729475
Fe_2,-0.02114831746016274
Fe_3,-0.029376034875947275
Fe_4,-0.03618959826384175
Fe_5,-0.03604116856072533
Fe_6,-0.033890020851050084
Cd_1,0.00018369033916985293
Cd_2,0.003880884591429379
Cd_3,0.0057638860900111385
Cd_4,0.007957766389385319
Cd_5,0.005413191591274935
Cd_6,0.0058413121890100285
Zn_1,0.00812485643592685
Zn_2,0.048896921813295864
Zn_3,0.09744833439375232
Zn_4,0.1306737026262048
Zn_5,0.17004069911624453
Zn_6,0.20307316282803256
Cu_1,0.0017138512870600257
Cu_2,0.001338469468714782
Cu_3,0.004009829847600136
Cu_4,0.0103932871367952
Cu_5,0.012798635887370286
Cu_6,0.014951150077205438
Pb_1,0.01437618897336526
Pb_2,0.07021297937142036
Pb_3,0.13980554720998042
Pb_4,0.21397172179550408
Pb_5,0.2848383658415837
Pb_6,0.3614607709892488
