,yohC
Cr_1,-0.013252582168035215
Cr_2,-0.020846707742627327
Cr_3,-0.02715613765843477
Cr_4,-0.03219097692459386
Cr_5,-0.03586831132628216
Cr_6,-0.04468099242590812
Fe_1,-0.010833750834847469
Fe_2,-0.051272778850211066
Fe_3,-0.11072465572126018
Fe_4,-0.18050672789407948
Fe_5,-0.24560638230965404
Fe_6,-0.29806472593509115
Cd_1,0.004136028015291983
Cd_2,0.009308345441992634
Cd_3,0.014347348710959162
Cd_4,0.0180570365649714
Cd_5,0.014816585054453059
Cd_6,0.02176839838959157
Zn_1,0.002757460390812023
Zn_2,-0.004490053179926556
Zn_3,-0.0056673339385035154
Zn_4,0.0021641010159643907
Zn_5,0.01853335401750653
Zn_6,0.038399286986946335
Cu_1,0.0038511660172921842
Cu_2,0.009517079859952886
Cu_3,0.01805115296381224
Cu_4,0.027947899609582272
Cu_5,0.03235834039279002
Cu_6,0.04013207939009285
Pb_1,0.004608108680134574
Pb_2,0.012932556041875822
Pb_3,0.02407583590369736
Pb_4,0.03604935016487288
Pb_5,0.052216463178124575
Pb_6,0.07277383717936438
