locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,operon,regulator,link
SACI_RS10645,0.3641982144189335,cysH_2,Saci_2202,"phosphoadenylyl-sulfate reductase, 5′-adenylylsulfate sulfotransferase 3",Amino acid transport and metabolism,Op1332,,https://www.uniprot.org/uniprot/A0A0U2X312
SACI_RS10650,0.3394659474526106,sat,Saci_2203,sulfate adenylyltransferase,Inorganic ion transport and metabolism,Op1333,,https://www.uniprot.org/uniprot/A0A0U3FXL2
SACI_RS10640,0.3328369977418202,sir,Saci_2201,nitrite/sulfite reductase,Inorganic ion transport and metabolism,Op1331,,https://www.uniprot.org/uniprot/A0A0U2Y2E5
SACI_RS10655,0.2992341544120647,Saci_2204,Saci_2204,hypothetical protein,Function Unknown,Op1333,,https://www.uniprot.org/uniprot/A0A0U2NGN4
SACI_RS10635,0.2778581244942424,uroM,Saci_2200,uroporphyrinogen-III C-methyltransferase,Coenzyme transport and metabolism,Op1331,"hypotonic-Na,hypotonic-all,Saci_1955",https://www.uniprot.org/uniprot/A0A0U2NCI9
SACI_RS10405,0.2045261083416565,Saci_2151,Saci_2151,sulfite exporter TauE/SafE family protein,General Function Prediction Only,Op1293,"hypotonic-K,hypotonic-Na,hypotonic-all",https://www.uniprot.org/uniprot/A0A0U3GUX1
SACI_RS10625,0.18710827575655026,ttuD,Saci_2198,sulfurtransferase,Inorganic ion transport and metabolism,Op1329,,https://www.uniprot.org/uniprot/A0A0U2YA58
SACI_RS10620,0.18426013635532773,Saci_2197,Saci_2197,hypothetical protein,Function Unknown,Op1329,aCPSF2-stat,https://www.uniprot.org/uniprot/A0A0U2VXH2
SACI_RS01490,0.13999074191453173,mtoX,Saci_0305,selenium-binding family protein,Function Unknown,Op172,,https://www.uniprot.org/uniprot/A0A0U3HAR4
SACI_RS01485,0.11337668820565602,Saci_0304,Saci_0304,hypothetical protein,Function Unknown,Op172,,https://www.uniprot.org/uniprot/A0A0U2Y921
