,A,Xpf
R2,,0.5949394655353761
xmin,,-1.0030666667
xmid,,
xmax,,3.4245333333
ystart,,-7.352134029756511
yend,,32.80750926519893
LBexp_1,15.5669807244,0.6291333333
LBexp_2,16.409105434,0.6141333333
LBexp_3,15.9224308417,0.6611333333
LBtran_1,10.0452458605,-0.12966666670000002
LBtran_2,12.328899351,-0.060466666700000005
LBtran_3,12.7715880893,0.2222333333
LBstat_1,-7.2214307564,-0.6073666667000001
LBstat_2,-4.7514416795,-0.2921666667
LBstat_3,-2.9100945948,-0.15966666670000002
LBGexp_1,15.174616617,0.5427333333000001
LBGexp_2,17.1866286722,0.44313333330000004
LBGexp_3,14.1307070451,0.6581333333
LBGtran_2,9.597988762,0.0623333333
LBGtran_3,12.8296933972,0.2027333333
LBGstat_1,-2.563799552,-0.3053666667
LBGstat_2,2.1089960258,-0.2990666667
LBGstat_3,-1.7796553332,0.0831333333
S0_1,6.3694202178,-0.15486666670000002
S0_2,7.4790082622,0.1049333333
S0_3,9.2206076078,0.3702333333
S1_1,2.4676113522,0.8236333333
S1_2,2.6738268712,0.9605333333
S1_3,4.0134440785,0.9970333333
S2_1,3.7700175721,0.2123333333
S2_2,5.4954119336,0.0029333333000000003
S2_3,7.2099593435,0.0919333333
S3_1,0.5521178658,-0.09886666670000001
S3_2,-0.2676222035,-0.2234666667
S4_1,-2.2340080788,0.2551333333
S4_2,-0.4278955599,-0.2699666667
S4_3,-1.1850766181,-0.3670666667
S5_1,-1.2885051663,-0.1259666667
S5_2,0.78353393,0.1978333333
S5_3,-0.2471179165,0.2152333333
S6_1,2.7702068264,0.4063333333
S6_2,0.5582431259,-0.0032666667
S6_3,6.3422517333,0.7149333333
S6/t_1,2.3673575466,0.7231333333000001
S6/t_2,2.2184398063,-0.0248666667
S6_4,1.3519253411,0.24883333330000001
S6_5,1.6152041512,0.5038333333
S6_6,1.1428833983,0.2413333333
S7_4,0.6906308696,0.9711333333000001
S7_5,1.1535344016,0.9198333333000001
S7_6,0.005386485900000001,1.2818333333
S8_4,2.4915955596,0.9042333333
S8_5,2.8377536663000003,1.3360333333
G135_1,-3.8417566063,0.0106333333
G135_3,-0.2019794417,-0.1585666667
G150_1,-5.7960829275,-0.31176666670000003
G150_2,-7.4027392072,-0.7835666667000001
G150_3,-4.7549504429,-0.23526666670000002
G180_1,-1.6216486693,-0.21886666670000002
G180_2,-0.7942815624,-0.5343666667
G180_3,6.2217967756,-0.2982666667
C30_1,2.0427658745,1.0534333333
C30_2,2.0157828183,1.2663333333
C90_1,10.1937162278,0.4813333333
C90_2,14.5982737801,0.2129333333
BI_1,-9.9602983493,-0.6945666667
BI_2,-10.2444407425,-0.8781666667
BC_2,8.8840270485,-0.0150666667
BC/t_1,7.4695750739,-0.0116666667
BC/t_2,5.9156877783,0.6988333333
BC_1,8.4802220207,0.0704333333
Sw_1,-7.2029897632,-0.8829666667
Sw_2,-6.5535477878,-0.9016666667000001
BT_1,-2.8967555668,-0.16496666670000001
BT_2,-1.6276344257000002,-0.3849666667
B36_1,-8.0968660193,-0.6875666667
B36_2,-8.373272906,-0.6509666667
B60_1,-0.6932459666,-0.0077666667
B60_2,-4.8713426123,-0.1492666667
M9exp_1,-0.43602519770000003,0.1176333333
M9exp_2,-0.1971549457,0.0557333333
M9exp_3,0.6331801435000001,-0.1733666667
M9tran_1,2.2886537746,0.042533333300000004
M9tran_2,2.3409090127,0.1541333333
M9tran_3,0.2578775785,-0.1453666667
M9stat_1,-2.3085914494,0.2356333333
M9stat_2,-2.6533269241,0.27793333330000003
M9stat_3,-3.1088309653,0.0171333333
M+G_1,3.2683330289,0.6612333333
M+G_2,4.6799060835,0.24503333330000002
M+G_3,7.0964712599,0.2589333333
Glu_1,1.302054072,0.24223333330000002
Glu_2,0.18819420150000002,0.1561333333
Glu_3,2.2090415268,0.20623333330000002
Fru_1,4.1051027362,0.43863333330000004
Fru_2,0.8118241636,0.3488333333
Fru_3,0.8007913937000001,0.1059333333
Mal_1,7.7491921023,0.0878333333
Mal_2,3.7981470701,0.2235333333
