,rhsD
Cr_1,-0.01608475092152219
Cr_2,-0.03389317165877489
Cr_3,-0.04581968406187429
Cr_4,-0.0545003676863574
Cr_5,-0.06864758536760213
Cr_6,-0.08297677054746859
Fe_1,-0.0009268210649877984
Fe_2,0.009550755875951082
Fe_3,0.035664569270599834
Fe_4,0.07166693562592434
Fe_5,0.12330354801442192
Fe_6,0.1784942151531469
Cd_1,0.013291920310163616
Cd_2,0.027216560954850883
Cd_3,0.04288570285173883
Cd_4,0.05812522384939925
Cd_5,0.06830036395941994
Cd_6,0.08900376566602579
Zn_1,-0.014071969906766148
Zn_2,-0.022911800131180403
Zn_3,-0.0402527825331587
Zn_4,-0.06823708081428435
Zn_5,-0.1019066231852996
Zn_6,-0.13477894439465546
Cu_1,0.00029523043204837343
Cu_2,0.0008683444422773739
Cu_3,0.0008856101692146517
Cu_4,-0.005418620066621205
Cu_5,-0.020925315160206168
Cu_6,-0.02920927589243595
Pb_1,0.003589964923981793
Pb_2,0.0016372786009387866
Pb_3,0.002541391601062014
Pb_4,0.006631312715717559
Pb_5,0.004623626585360356
Pb_6,-0.0017115608341166015
