,A,CovR
R2,,0.0
xmin,,-2.7938274106
xmid,,
xmax,,1.1180603302
ystart,,2.0914324194379312
yend,,2.0914324194379312
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:1.0,-0.1465443626,-0.40441588170000003
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:2.0,-0.5631495894,0.6109836465
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:3.0,0.7096939520000001,-0.2065677648
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:1.0,2.7030022871,-1.6266626144
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:2.0,1.9644666509,-1.6077561596
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:3.0,-0.592927037,-0.4696505177
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:1.0,4.9638198143,-1.9800552427
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:2.0,3.8507867825,-1.8756283725
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:3.0,3.9621743357,-1.4261012491
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:1.0,1.3466097473,0.0571555304
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:2.0,0.4413248068,-0.1420032166
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:3.0,0.8883210298,0.024880377800000002
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:4.0,1.1917415829,-0.0672521135
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:5.0,1.4232407299,-0.1632829193
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:6.0,-0.5990710163,0.2804653948
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:7.0,-1.0963765286,0.07702081200000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:8.0,0.9017264219000001,-0.4032428778
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:9.0,2.2126971488000002,-0.1888377943
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:10.0,-0.8759087279000001,0.3349101131
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:11.0,-1.2449314302,0.16515789050000002
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:12.0,-0.4699243735,-0.0661497427
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:13.0,-0.1281601782,-0.0281893125
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:14.0,0.8973100463,-0.1602399599
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:15.0,-0.9939033505,-0.0005259845
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:16.0,-2.4888854575,0.29014361050000004
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:17.0,1.5676420247,0.0378056365
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:18.0,-1.791489522,0.2154065986
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:19.0,-1.2941690432000001,0.047001421700000004
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:20.0,-0.39634381220000003,-0.1022082249
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:21.0,0.5085499018,-0.20801524000000002
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:1.0,6.0252652672,-1.0826580961
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:2.0,2.9004604575,-0.9106099192
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:3.0,4.2656947226,-0.6019322959
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:4.0,4.7851003703,-0.8713121163
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:5.0,-0.1578568156,-0.48355350100000005
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:6.0,4.1419545291,-1.16209567
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:7.0,3.6844560859,-1.2652766565
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:8.0,3.5052016653,-0.8645781516000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:9.0,4.7123291906,-1.0939931835
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:10.0,4.759876873,-1.1156021344
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:11.0,4.4144185503,-0.9124966582
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:12.0,2.3837393094,-0.5680504649
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:13.0,1.1152985498,-1.0724384516
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:14.0,5.1435406452,-1.2811377927
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:15.0,4.1581392136,-1.3058777854999999
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:16.0,1.5002999829,-1.0060077783
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:17.0,9.8566965009,-1.7367325819000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:18.0,3.1271539384,-0.8639908188000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:19.0,2.6384190629,-1.1357796231
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:20.0,3.5118414926,-1.0954504177
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:21.0,1.4595542807,-1.2711135228
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:1.0,-0.6149528503,0.09757533
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:2.0,0.3080812959,-0.12725127120000002
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:3.0,0.30687155450000003,0.0296759412
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:1.0,1.5347808852,-0.24314273460000002
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:2.0,-0.6934804397000001,0.45233669790000003
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:3.0,0.2053403749,0.27991731540000003
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:4.0,-0.6451867386,0.2137305965
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:1.0,0.966984995,0.0129009061
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:2.0,-0.0066499393,0.009378777000000001
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:3.0,-1.0079843606,0.029181749000000003
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:4.0,0.047649305,-0.0514614321
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:1.0,24.2225501078,0.17080487360000002
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:2.0,23.7948260413,0.130033007
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:3.0,24.0619765669,0.15188154040000001
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:4.0,23.9692553967,0.0819489805
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:1.0,20.65848245,-0.2076158683
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:2.0,20.3571709431,-0.0625102375
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:3.0,21.6640512725,-0.0419491078
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:4.0,21.5524478357,0.0291436584
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:1.0,-2.8630961996,0.11267651490000001
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:2.0,-2.6836930781,0.116931106
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:3.0,-2.5671051362,0.1990664275
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:4.0,-2.7915117816,0.2471247256
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:1.0,0.07748465680000001,0.6464892268
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:2.0,0.7402978619,0.41909890650000003
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:3.0,0.3996217587,0.3847149875
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:1.0,-3.7095984285,1.1060258307
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:2.0,-3.38934995,1.0709897718
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:3.0,-3.8776836935,1.1180603302
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:1.0,-2.0676853253,-0.8615528325
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:1.0,-2.1861914311,-2.7938274106
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:2.0,-2.7813965137,-0.4997803589
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:2.0,-2.6804672125,-2.3670738046
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:3.0,-1.5871227603,-1.1622850947
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:3.0,-1.7261158592,-2.3733323798
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:4.0,-0.1969302766,-1.0931397489
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:4.0,-5.6270696934,-0.5721140861
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:5.0,-0.27666037390000003,-0.20400939580000002
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:5.0,-5.2266286537,-0.47834395820000003
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:6.0,-0.7438136270000001,-0.153153976
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:6.0,-4.832364472,-1.0716002669
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:1.0,0.3716952992,0.045653004000000004
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:2.0,0.2255295693,-0.0709262903
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:3.0,-0.5972248685,0.0252732863
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:1.0,-1.9679916513000002,-0.4240567349
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:2.0,-1.7442802831000002,-0.4581758983
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:3.0,-1.8467624435,-0.4688042965
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:1.0,1.2867769408,0.2457018755
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:2.0,5.2889890406,0.1891675794
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:3.0,1.8898332181000002,0.4079226385
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:1.0,-0.7498475538,0.0910578253
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:2.0,-1.1790940323,-0.22648313990000002
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:3.0,-1.1905005866,0.122533709
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:1.0,0.5981667157,0.0660744917
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:2.0,0.47528819440000003,0.0927657535
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:3.0,0.8726822790000001,0.3829925273
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:1.0,-0.6210793908000001,-0.5124793177
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:2.0,-0.6519354017,-0.47931904210000004
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:3.0,-0.5390189676,-0.48772635550000004
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:1.0,4.5377961353,0.31146659730000004
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:2.0,3.9915909449,0.2570309403
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:3.0,4.05152877,0.5045065668000001
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:1.0,1.70013501,0.8145839451
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:2.0,1.7144705071000002,0.8346940140000001
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:3.0,1.8213719962,0.7876770804000001
