,uspA
Cr_1,-0.00631008871430476
Cr_2,-0.007412730892177306
Cr_3,-0.013357915477563716
Cr_4,-0.015398512435529876
Cr_5,-0.0162436627944068
Cr_6,-0.01807183714670297
Fe_1,-0.017456129278547818
Fe_2,-0.02331730824731449
Fe_3,-0.02950477425759513
Fe_4,-0.04141852852951347
Fe_5,-0.05546733737125584
Fe_6,-0.06886753882262278
Cd_1,-0.0014067063687160483
Cd_2,-0.0016237455095950795
Cd_3,-0.003594833315854505
Cd_4,-0.0033185201223752147
Cd_5,-0.006190136083437372
Cd_6,-0.00433891966546375
Zn_1,0.02423791345315437
Zn_2,0.02175302861573046
Zn_3,0.031806405489475074
Zn_4,0.03902222796979282
Zn_5,0.04056675285988105
Zn_6,0.04295277458519773
Cu_1,-0.001153144642294105
Cu_2,-0.005498802312011025
Cu_3,-0.00970695619216928
Cu_4,-0.009939919014945365
Cu_5,-0.008315421535965529
Cu_6,-0.006628031714375044
Pb_1,0.005433871486829924
Pb_2,0.010522685926331436
Pb_3,0.017472100683142814
Pb_4,0.01647934980845875
Pb_5,0.018795842906228752
Pb_6,0.028369272858829588
