,emrE
Cr_1,0.011050513825182342
Cr_2,0.012912845746122179
Cr_3,0.02785428237312076
Cr_4,0.030685327515310758
Cr_5,0.03783930329684969
Cr_6,0.017947667317163792
Fe_1,-0.02206402925194325
Fe_2,-0.04377905200264725
Fe_3,-0.05518291353928713
Fe_4,-0.08242402644976496
Fe_5,-0.0957309217584286
Fe_6,-0.10683613538662956
Cd_1,-0.01055373304405521
Cd_2,-0.016092233028029763
Cd_3,-0.017872808037244083
Cd_4,-0.017538126976450144
Cd_5,-0.01855474644865863
Cd_6,-0.017706284096997774
Zn_1,-0.006680651509046699
Zn_2,0.02240182393863684
Zn_3,0.03102338023669376
Zn_4,0.017499907108618182
Zn_5,0.06348236065825692
Zn_6,0.06509790616139159
Cu_1,-0.0003600593122201375
Cu_2,-0.004301303657227228
Cu_3,-0.004889071190023017
Cu_4,-0.0062549645822158285
Cu_5,-0.00485580807314941
Cu_6,-0.0006456997812973303
Pb_1,-0.000476246642400317
Pb_2,-0.0010538711676431854
Pb_3,-0.0005476157562870733
Pb_4,0.0011480885708404784
Pb_5,0.005211102505490687
Pb_6,0.01003958776241984
