,ybdN
Cr_1,0.0008068688309936894
Cr_2,0.0012516591974596825
Cr_3,0.0025921456847278488
Cr_4,0.004335233333201345
Cr_5,0.0037211070868026115
Cr_6,0.002658571248886286
Fe_1,-0.00590813645531297
Fe_2,-0.023628810936121042
Fe_3,-0.029257247189765394
Fe_4,-0.033088622014346765
Fe_5,-0.03420918763925413
Fe_6,-0.03693280058952149
Cd_1,0.0011125867880796138
Cd_2,0.002654263417182744
Cd_3,0.008373032375177987
Cd_4,0.011581772068250286
Cd_5,0.010761657307067948
Cd_6,0.013349111713193564
Zn_1,-0.0017963452641680375
Zn_2,-0.0012916816337599686
Zn_3,0.002051399555386589
Zn_4,0.006528632707527701
Zn_5,0.014118793501282412
Zn_6,0.018680348572076372
Cu_1,0.0012782698658759851
Cu_2,0.008680713817076822
Cu_3,0.013718507902256307
Cu_4,0.01957531902400529
Cu_5,0.02260023617389758
Cu_6,0.02795320820520114
Pb_1,0.010336260911648062
Pb_2,0.01911198243380656
Pb_3,0.02432179744262633
Pb_4,0.034421395343379985
Pb_5,0.042837735637620576
Pb_6,0.05112753788110517
