,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X,rep13_idx,rep13_X,rep14_idx,rep14_X,rep15_idx,rep15_X,rep16_idx,rep16_X,rep17_idx,rep17_X,rep18_idx,rep18_X,rep19_idx,rep19_X,rep20_idx,rep20_X,rep21_idx,rep21_X
0,ME_vs_LE__THY_None_WT_earlylog-planktonic,4.625929269271485e-18,0.15109709396341678,3.0,0.0,0.17169664510000002,1.0,-0.059005663400000005,2.0,-0.1126909817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ME_vs_LE__THY_None_WT_latelog-planktonic,-1.3547607283999998,1.030151977945099,3.0,3.0,-2.016016038,4.0,-1.8804444418,5.0,-0.1678217054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ME_vs_LE__THY_None_WT_earlystationary-planktonic,-2.033957776,0.12869499910839752,3.0,6.0,-2.1503345929,7.0,-2.0557989256,8.0,-1.8957398095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ME_vs_S__THY_None_WT_mid-exponential_OD1.0,4.761909120988759e-12,0.15426480746479496,21.0,9.0,0.2045782585,10.0,-0.1247071439,11.0,-0.0201075629,12.0,0.1055746484,13.0,-0.0602805577,14.0,0.28168952070000003,15.0,-0.1564037184,16.0,-0.23421350070000002,17.0,-0.060536771100000004,18.0,-0.2318681809,19.0,-0.0873559032,20.0,-0.2960317314,21.0,0.057179075700000005,22.0,0.0632522784,23.0,0.1277809886,24.0,0.0325893691,25.0,0.0604831544,26.0,0.20550715490000002,27.0,0.14291255690000002,28.0,-0.0271318311,29.0,0.0170898958
4,ME_vs_S__THY_None_WT_early-stationary_OD1.8,-1.9913449992761902,0.3950925935324388,21.0,30.0,-1.8118962394,31.0,-2.3717895583,32.0,-1.9858393963,33.0,-1.9858609452,34.0,-0.9509828798000001,35.0,-1.7401210872,36.0,-1.5722154108000002,37.0,-2.0293018568,38.0,-2.159151533,39.0,-2.1857942695,40.0,-2.0373469161,41.0,-2.1033406629,42.0,-1.5474010665,43.0,-2.3455081817,44.0,-2.1600515318,45.0,-1.8262972192,46.0,-3.0383020357,47.0,-2.0029163675,48.0,-1.9231177631,49.0,-2.1950444477,50.0,-1.8459656163
5,WT_vs_Del_ccpA__THY_None_WT_exponential,2.3129646346357427e-18,0.07959894111660458,3.0,51.0,0.0918825733,52.0,-0.0438953224,53.0,-0.0479872509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WT_vs_Del_ccpA__THY_None_Del-ccpA_exponential,-0.69364556155,0.19441099902053785,4.0,54.0,-0.9508566351000001,55.0,-0.6978358095,56.0,-0.6437115079,57.0,-0.48217829370000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WT_vs_Del_covR__THY_None_WT_late-exponential,0.0,0.044679261954013866,4.0,58.0,0.0306894186,59.0,0.0330970432,60.0,-0.0009327859000000001,61.0,-0.0628536759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WT_vs_Del_covR__THY_None_covR-D53A_late-exponential,-0.1821699335,0.0496187116166243,4.0,62.0,-0.1791633326,63.0,-0.1275601335,64.0,-0.1739987147,65.0,-0.2479575532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WT_vs_Del_covR__THY_None_covS-E281A_late-exponential,-0.099999044125,0.0475069516070847,4.0,66.0,-0.1488610075,67.0,-0.0361411736,68.0,-0.1173197683,69.0,-0.0976742271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
