,nupX
Cr_1,-0.0038219074619725664
Cr_2,0.0026865919539102072
Cr_3,0.007125324427835308
Cr_4,0.0005871566683306633
Cr_5,-9.575254991536673e-05
Cr_6,-0.003948277154589413
Fe_1,-0.017911305328672678
Fe_2,-0.029179265364833732
Fe_3,-0.02367314795134001
Fe_4,-0.017944566185475984
Fe_5,-0.016667164236432153
Fe_6,-0.007240459455353997
Cd_1,0.004716821794011785
Cd_2,0.008992514692521134
Cd_3,0.014287576145708109
Cd_4,0.023195871277278055
Cd_5,0.02017476728247852
Cd_6,0.02302687942259522
Zn_1,0.007373352183161895
Zn_2,0.0065499762975913395
Zn_3,0.018803167418393874
Zn_4,0.037223929950175816
Zn_5,0.059067391066234674
Zn_6,0.0699538026239066
Cu_1,0.005997751876327328
Cu_2,0.007748583026490375
Cu_3,0.019342596922518496
Cu_4,0.028874582896384095
Cu_5,0.039803008191213116
Cu_6,0.05247563336613832
Pb_1,-0.002893363834042371
Pb_2,-0.0019248863755598664
Pb_3,0.017499778943194204
Pb_4,0.021690651175130433
Pb_5,0.024116584241327656
Pb_6,0.022223963323212508
