,A,flhD
R2,,0.4846889390659964
xmin,,-5.415813057
xmid,,-0.2608523968886204
xmax,,4.760193415353867
ystart,,-3.25215833833236
yend,,36.57976407142459
control__wt_glc__1,-0.3290002977472482,-0.12659477299999988
control__wt_glc__2,0.3290002977472188,0.12659477299999988
fur__wt_dpd__1,-5.319409292514571,-1.7674656090000005
fur__wt_dpd__2,-5.196873382381219,-1.880887454
fur__wt_fe__1,-7.144848565029715,-0.3019890670000001
fur__wt_fe__2,-6.758991371251334,-0.2768906470000001
fur__delfur_dpd__1,-5.930140496931898,-2.018074196
fur__delfur_dpd__2,-5.934485240165116,-1.910472906
fur__delfur_fe2__1,-1.77514817751584,0.13425278300000001
fur__delfur_fe2__2,-3.0701941496097027,0.12133000499999992
acid__wt_ph5__1,-5.471002631538152,-0.7547466570000001
acid__wt_ph5__2,-4.907313013331591,-0.7751480549999998
acid__delgadx_ph5__2,-5.404904494576423,-0.668438976
acid__delgadw_ph5__1,-4.544753698045585,-1.0576382030000009
acid__delgadw_ph5__2,-4.835331064774526,-0.7929399760000004
acid__delgade_ph5__1,-5.4922605826827136,-0.6756536369999999
acid__delgade_ph5__2,-5.515043414457256,-0.8510678880000002
oxidative__wt_pq__1,-6.820103739015466,-1.956612878
oxidative__wt_pq__2,-6.491970285891689,-2.4607919120000004
oxidative__deloxyr_pq__1,-5.940373379093922,-1.4641797959999994
oxidative__deloxyr_pq__2,-5.844071769879345,-1.8119367659999999
oxidative__delsoxr_pq__1,-6.895755604218838,-1.304104916
oxidative__delsoxr_pq__2,-6.041890332210889,-1.859776541
oxidative__delsoxs_pq__1,-6.467086870084874,-1.9960218930000004
oxidative__delsoxs_pq__2,-7.029721149985315,-1.4033367730000004
nac_ntrc__wt_csn__1,-5.889842374020364,-0.9125793890000002
nac_ntrc__wt_csn__2,-5.9209013585972965,-0.810985992
nac_ntrc__wt_cytd__1,-7.184596926675213,-0.7287301950000007
nac_ntrc__wt_cytd__2,-7.499257017054857,-0.8302642440000003
nac_ntrc__wt_gln__1,-7.298461545426485,-0.2876468320000001
nac_ntrc__wt_gln__2,-7.257918545787298,-0.7679582969999998
nac_ntrc__bw_delnac_csn__1,-4.417829621385359,-1.114148526
nac_ntrc__bw_delnac_csn__2,-5.060736944839411,-1.174369788
nac_ntrc__bw_delnac_cytd__1,-5.775239291875323,0.11322067799999935
nac_ntrc__bw_delnac_cytd__2,-5.814126167752495,-0.3536767890000005
nac_ntrc__bw_delnac_gln__1,-4.78696128656583,-0.24886122599999985
nac_ntrc__bw_delnac_gln__2,-6.06398387035013,-0.2745180480000009
nac_ntrc__bw_delnac_nh4__1,21.46159489515744,1.6157770790000001
nac_ntrc__bw_delnac_nh4__2,21.22744815275803,1.5415462050000004
misc__wt_no_te__1,-6.753143937725084,-0.7311294479999999
misc__wt_no_te__2,-1.6388867240863598,-0.4457265059999997
misc__bw_delcbl__1,-0.7227543269335287,0.2969647240000013
misc__bw_delcbl__2,-0.7713787145222788,0.17406689500000014
misc__bw_delfabr__1,26.06484261450053,2.2494222469999983
misc__bw_delfabr__2,25.978178752018536,2.202174337
misc__bw_delfadr__1,12.861315553576071,1.0715016769999997
misc__bw_delfadr__2,13.003051609255714,1.0911580019999991
misc__nitr_031__1,-4.533207024048258,-0.5800470750000004
omics__wt_glu__1,-3.024630083455278,-0.15312454399999975
omics__wt_glu__2,-2.7128516577768544,-0.2816744260000004
omics__wt_gly__1,-1.2049749467477644,-0.2291335850000005
omics__wt_gly__2,-0.8269572051102506,-0.049074383000000665
omics__wt_thr__1,-2.160824526439705,-0.06289704000000018
omics__wt_thr__2,-3.747280073546301,-0.023168447000000647
omics__bw_ac__1,9.058764295656667,0.7029883919999982
omics__bw_ac__2,8.897154602582882,1.0874968019999995
omics__bw_fum__1,17.854309091434697,0.920113316
omics__bw_fum__2,17.677654476761127,0.8875685149999999
