,polB
Cr_1,-0.01116254400746974
Cr_2,-0.014723319115956543
Cr_3,-0.01056195278856503
Cr_4,0.0038105159869906854
Cr_5,0.027135122134220518
Cr_6,0.052614850786644345
Fe_1,-0.012916549484888537
Fe_2,-0.03985107893266068
Fe_3,-0.0594315629104737
Fe_4,-0.07218130827599396
Fe_5,-0.08693929986603623
Fe_6,-0.09240162964152053
Cd_1,0.005840611308169774
Cd_2,0.010370436272675716
Cd_3,0.015700523214794725
Cd_4,0.025065723855461484
Cd_5,0.02761123311536532
Cd_6,0.034338849999454066
Zn_1,-0.002547581730149644
Zn_2,0.0010684646917926673
Zn_3,0.004914765086567082
Zn_4,0.016777693795981864
Zn_5,0.0268813937464987
Zn_6,0.039214201462639535
Cu_1,2.7168851673648612e-05
Cu_2,0.003204498368968895
Cu_3,0.013368992713139814
Cu_4,0.022172742218220482
Cu_5,0.03772757301656311
Cu_6,0.05052778546755467
Pb_1,0.0072437094291638296
Pb_2,0.01438302109226575
Pb_3,0.02185568176318856
Pb_4,0.03688072006188858
Pb_5,0.05292063222863728
Pb_6,0.07432063568380072
