,A,Rv0078,Rv2034
R2,,0.7602959943512687,0.5140675509110456
xmin,,-4.3513338915,-4.1334247821
xmid,,2.1572093811822275,1.2614027870031854
xmax,,4.6199712773,7.9899897644
ystart,,-0.009917992926242292,-0.07215834124338638
yend,,15.186711652420225,14.58989910048509
AX:AX_10_MIC:1,-0.10900670280000001,-1.3786984580000001,-0.1631388564
AX:AX_10_MIC:2,0.4199853334,0.41986756750000004,0.1112453167
AX:AX_30_MIC:1,0.5106930286,-0.2826973425,-0.3237659566
AX:AX_30_MIC:2,0.2953299851,0.1160380107,0.4891490101
AX:QZ_10_MIC:1,0.3081888143,-0.49019434500000003,-0.3776554062
AX:QZ_10_MIC:2,0.057775537200000004,0.4371685074,0.6371532096
AX:QZ_30_MIC:1,0.1832108997,-1.1933600542,0.284818742
AX:QZ_30_MIC:2,0.320963948,-0.8670315429000001,-0.7333443611
AX:wt:1,1.2370931913,-0.105649988,-0.22160921860000002
AX:wt:2,-1.2370931913,0.105649988,0.22160921860000002
ITM_04:00h_clinic_ctrl:1,-2.6151429461999998,-0.8186283438,-2.4523617451
ITM_04:00h_clinic_ctrl:2,-2.846856294,-0.9133395284,-1.7886948576
ITM_04:00h_h37rv_control:1,0.1796590416,-0.1096475787,-0.22829569460000002
ITM_04:00h_h37rv_control:2,-0.1938607188,0.0019303105000000001,0.2618522904
ITM_04:00h_h37rv_control:3,0.0142016772,0.10771726820000001,-0.033556595700000004
ITM_04:06h_clinic_delam:1,-0.2853769266,-0.2443905657,-2.694424885
ITM_04:06h_clinic_delam:2,-0.5143835291000001,-0.2288944676,-2.3371252673000003
ITM_04:06h_clinic_delam:3,-0.5965948617,-0.6122408669,-2.6959729398
ITM_04:06h_clinic_DMSO:1,-0.8134686,0.0638097056,-3.0381319881
ITM_04:06h_clinic_DMSO:2,-1.2048595513,-0.2765533471,-3.4070834457
ITM_04:06h_clinic_DMSO:3,-0.45091120020000003,-0.1922796977,-3.1723598019
ITM_04:06h_h37rv_delam:1,0.5339088672,-0.0016417612000000001,-2.8537346827
ITM_04:06h_h37rv_delam:2,0.2830667685,-0.2076298839,-2.4524800169
ITM_04:06h_h37rv_delam:3,0.6947260266,0.018258161800000002,-2.4513127076
ITM_04:06h_h37rv_DMSO:1,0.1160780332,0.082486611,-2.1043019268
ITM_04:06h_h37rv_DMSO:2,0.1228871816,-0.026765488100000002,-2.5125250137
